,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
0,1.0,Sidney Watts,,,,0,1,0,0,/events/teams/?EventTeamId=SUnYxthc9A4cEtl3q6%2fTSifiANLprghvMXhdM1%2b%2fw2Q%3d,Texas,13,SIDNEY WATTS
1,2.0,Gavin Murphy,,,,1,4,0,0,/events/teams/?EventTeamId=SUnYxthc9A4cEtl3q6%2fTSifiANLprghvMXhdM1%2b%2fw2Q%3d,Texas,13,GAVIN MURPHY
2,4.0,Mitchell Smarda,,,,0,0,0,0,/events/teams/?EventTeamId=SUnYxthc9A4cEtl3q6%2fTSifiANLprghvMXhdM1%2b%2fw2Q%3d,Texas,13,MITCHELL SMARDA
3,6.0,Garrett Idler,,,,6,2,0,0,/events/teams/?EventTeamId=SUnYxthc9A4cEtl3q6%2fTSifiANLprghvMXhdM1%2b%2fw2Q%3d,Texas,13,GARRETT IDLER
4,7.0,Jordan Taylor,Defense (Handler),,"6'2""",1,5,0,0,/events/teams/?EventTeamId=SUnYxthc9A4cEtl3q6%2fTSifiANLprghvMXhdM1%2b%2fw2Q%3d,Texas,13,JORDAN TAYLOR
5,8.0,Hagen Fritz,Defense (Cutter),,"6'1""",1,3,0,0,/events/teams/?EventTeamId=SUnYxthc9A4cEtl3q6%2fTSifiANLprghvMXhdM1%2b%2fw2Q%3d,Texas,13,HAGEN FRITZ
6,10.0,Connor Breen,,,,4,0,0,0,/events/teams/?EventTeamId=SUnYxthc9A4cEtl3q6%2fTSifiANLprghvMXhdM1%2b%2fw2Q%3d,Texas,13,CONNOR BREEN
7,11.0,Dillon Larberg,Deep,,"6'2""",9,8,0,0,/events/teams/?EventTeamId=SUnYxthc9A4cEtl3q6%2fTSifiANLprghvMXhdM1%2b%2fw2Q%3d,Texas,13,DILLON LARBERG
8,12.0,Shawn Stone,,,"1'0""",0,1,0,0,/events/teams/?EventTeamId=SUnYxthc9A4cEtl3q6%2fTSifiANLprghvMXhdM1%2b%2fw2Q%3d,Texas,13,SHAWN STONE
9,13.0,Nash Mock,Defense (Cutter),,"5'9""",3,4,0,0,/events/teams/?EventTeamId=SUnYxthc9A4cEtl3q6%2fTSifiANLprghvMXhdM1%2b%2fw2Q%3d,Texas,13,NASH MOCK
10,14.0,Dennis Merworth,,,"5'10""",0,0,0,0,/events/teams/?EventTeamId=SUnYxthc9A4cEtl3q6%2fTSifiANLprghvMXhdM1%2b%2fw2Q%3d,Texas,13,DENNIS MERWORTH
11,15.0,Joey Hemann,,,"5'7""",0,0,0,0,/events/teams/?EventTeamId=SUnYxthc9A4cEtl3q6%2fTSifiANLprghvMXhdM1%2b%2fw2Q%3d,Texas,13,JOEY HEMANN
12,16.0,Michael Hays,Handler/Cutter,,"5'10""",8,4,0,1,/events/teams/?EventTeamId=SUnYxthc9A4cEtl3q6%2fTSifiANLprghvMXhdM1%2b%2fw2Q%3d,Texas,13,MICHAEL HAYS
13,18.0,David Miller,Defense (Cutter),,"6'5""",2,0,0,0,/events/teams/?EventTeamId=SUnYxthc9A4cEtl3q6%2fTSifiANLprghvMXhdM1%2b%2fw2Q%3d,Texas,13,DAVID MILLER
14,19.0,Jonathan Clutton,,,,0,0,0,1,/events/teams/?EventTeamId=SUnYxthc9A4cEtl3q6%2fTSifiANLprghvMXhdM1%2b%2fw2Q%3d,Texas,13,JONATHAN CLUTTON
15,20.0,Chase Cunningham,,,"6'3""",3,15,0,4,/events/teams/?EventTeamId=SUnYxthc9A4cEtl3q6%2fTSifiANLprghvMXhdM1%2b%2fw2Q%3d,Texas,13,CHASE CUNNINGHAM
16,23.0,Joel Clutton,,,,4,3,0,0,/events/teams/?EventTeamId=SUnYxthc9A4cEtl3q6%2fTSifiANLprghvMXhdM1%2b%2fw2Q%3d,Texas,13,JOEL CLUTTON
17,23.0,Matt Mihovil,,,"6'1""",1,1,0,0,/events/teams/?EventTeamId=SUnYxthc9A4cEtl3q6%2fTSifiANLprghvMXhdM1%2b%2fw2Q%3d,Texas,13,MATT MIHOVIL
18,27.0,Derek Tinker,,,,1,0,0,1,/events/teams/?EventTeamId=SUnYxthc9A4cEtl3q6%2fTSifiANLprghvMXhdM1%2b%2fw2Q%3d,Texas,13,DEREK TINKER
19,29.0,Logan Kinney,,,,4,1,0,0,/events/teams/?EventTeamId=SUnYxthc9A4cEtl3q6%2fTSifiANLprghvMXhdM1%2b%2fw2Q%3d,Texas,13,LOGAN KINNEY
20,31.0,Luke Simerly,,,"6'2""",4,0,0,0,/events/teams/?EventTeamId=SUnYxthc9A4cEtl3q6%2fTSifiANLprghvMXhdM1%2b%2fw2Q%3d,Texas,13,LUKE SIMERLY
21,32.0,Josh Brunelli,,,,0,1,0,0,/events/teams/?EventTeamId=SUnYxthc9A4cEtl3q6%2fTSifiANLprghvMXhdM1%2b%2fw2Q%3d,Texas,13,JOSH BRUNELLI
22,34.0,Carlos Vargas,,,,1,6,0,3,/events/teams/?EventTeamId=SUnYxthc9A4cEtl3q6%2fTSifiANLprghvMXhdM1%2b%2fw2Q%3d,Texas,13,CARLOS VARGAS
23,93.0,Chris Schultz,,,"6'2""",7,0,0,0,/events/teams/?EventTeamId=SUnYxthc9A4cEtl3q6%2fTSifiANLprghvMXhdM1%2b%2fw2Q%3d,Texas,13,CHRIS SCHULTZ
24,96.0,Keivaun Waugh,,,,0,1,0,0,/events/teams/?EventTeamId=SUnYxthc9A4cEtl3q6%2fTSifiANLprghvMXhdM1%2b%2fw2Q%3d,Texas,13,KEIVAUN WAUGH
0,0.0,Peter Mccloskey,Deep,,"6'4""",0,0,0,0,/events/teams/?EventTeamId=Ug2uww1laX%2fVPnLB4r7NDl1RNuJQDCPPw2VZWOlDT4g%3d,Pittsburgh,1,PETER MCCLOSKEY
1,2.0,Joseph Bender,Defense (Handler),,"5'10""",9,4,1,0,/events/teams/?EventTeamId=Ug2uww1laX%2fVPnLB4r7NDl1RNuJQDCPPw2VZWOlDT4g%3d,Pittsburgh,1,JOSEPH BENDER
2,3.0,Patrick Earles,Handler/Cutter,,"6'2""",6,26,0,4,/events/teams/?EventTeamId=Ug2uww1laX%2fVPnLB4r7NDl1RNuJQDCPPw2VZWOlDT4g%3d,Pittsburgh,1,PATRICK EARLES
3,5.0,Saul Graves,,,,8,2,0,1,/events/teams/?EventTeamId=Ug2uww1laX%2fVPnLB4r7NDl1RNuJQDCPPw2VZWOlDT4g%3d,Pittsburgh,1,SAUL GRAVES
4,7.0,Richard Boyle,Handler,,"5'9""",0,2,0,0,/events/teams/?EventTeamId=Ug2uww1laX%2fVPnLB4r7NDl1RNuJQDCPPw2VZWOlDT4g%3d,Pittsburgh,1,RICHARD BOYLE
5,8.0,Tyler Kunsa,,,,4,16,0,2,/events/teams/?EventTeamId=Ug2uww1laX%2fVPnLB4r7NDl1RNuJQDCPPw2VZWOlDT4g%3d,Pittsburgh,1,TYLER KUNSA
6,9.0,Carl Morgenstern,,,,0,0,0,0,/events/teams/?EventTeamId=Ug2uww1laX%2fVPnLB4r7NDl1RNuJQDCPPw2VZWOlDT4g%3d,Pittsburgh,1,CARL MORGENSTERN
7,10.0,Max Thorne,Mid,,"5'7""",9,8,1,0,/events/teams/?EventTeamId=Ug2uww1laX%2fVPnLB4r7NDl1RNuJQDCPPw2VZWOlDT4g%3d,Pittsburgh,1,MAX THORNE
8,11.0,Kyle Hartley,Defense (Cutter),,"6'3""",1,0,0,0,/events/teams/?EventTeamId=Ug2uww1laX%2fVPnLB4r7NDl1RNuJQDCPPw2VZWOlDT4g%3d,Pittsburgh,1,KYLE HARTLEY
9,12.0,Kevin Tang,,,"5'8""",0,0,0,0,/events/teams/?EventTeamId=Ug2uww1laX%2fVPnLB4r7NDl1RNuJQDCPPw2VZWOlDT4g%3d,Pittsburgh,1,KEVIN TANG
10,13.0,Andrew Lehmberg,,,,2,0,0,0,/events/teams/?EventTeamId=Ug2uww1laX%2fVPnLB4r7NDl1RNuJQDCPPw2VZWOlDT4g%3d,Pittsburgh,1,ANDREW LEHMBERG
11,15.0,Dylan Best,,,,4,2,0,0,/events/teams/?EventTeamId=Ug2uww1laX%2fVPnLB4r7NDl1RNuJQDCPPw2VZWOlDT4g%3d,Pittsburgh,1,DYLAN BEST
12,16.0,Trent Dillon,Defense (Cutter/Handler),,"5'11""",6,4,1,1,/events/teams/?EventTeamId=Ug2uww1laX%2fVPnLB4r7NDl1RNuJQDCPPw2VZWOlDT4g%3d,Pittsburgh,1,TRENT DILLON
13,17.0,Matthew Hanna,,,,1,0,0,0,/events/teams/?EventTeamId=Ug2uww1laX%2fVPnLB4r7NDl1RNuJQDCPPw2VZWOlDT4g%3d,Pittsburgh,1,MATTHEW HANNA
14,18.0,Stephen Shaw,Defense (Cutter),,"6'2""",1,0,0,0,/events/teams/?EventTeamId=Ug2uww1laX%2fVPnLB4r7NDl1RNuJQDCPPw2VZWOlDT4g%3d,Pittsburgh,1,STEPHEN SHAW
15,22.0,Christian Pitts,,,,12,2,1,0,/events/teams/?EventTeamId=Ug2uww1laX%2fVPnLB4r7NDl1RNuJQDCPPw2VZWOlDT4g%3d,Pittsburgh,1,CHRISTIAN PITTS
16,24.0,Sam Vandusen,Defense (Cutter),,"6'0""",3,2,1,1,/events/teams/?EventTeamId=Ug2uww1laX%2fVPnLB4r7NDl1RNuJQDCPPw2VZWOlDT4g%3d,Pittsburgh,1,SAM VANDUSEN
17,26.0,Robert Lincoln,,,"5'11""",0,1,0,0,/events/teams/?EventTeamId=Ug2uww1laX%2fVPnLB4r7NDl1RNuJQDCPPw2VZWOlDT4g%3d,Pittsburgh,1,ROBERT LINCOLN
18,36.0,Dan Wickens,,,,0,0,0,0,/events/teams/?EventTeamId=Ug2uww1laX%2fVPnLB4r7NDl1RNuJQDCPPw2VZWOlDT4g%3d,Pittsburgh,1,DAN WICKENS
19,38.0,Jonah Wisch,,,,1,3,0,0,/events/teams/?EventTeamId=Ug2uww1laX%2fVPnLB4r7NDl1RNuJQDCPPw2VZWOlDT4g%3d,Pittsburgh,1,JONAH WISCH
20,42.0,Marcus Ranii-Dropcho,,,,11,6,0,1,/events/teams/?EventTeamId=Ug2uww1laX%2fVPnLB4r7NDl1RNuJQDCPPw2VZWOlDT4g%3d,Pittsburgh,1,MARCUS RANII-DROPCHO
21,43.0,Daniel O'Connor,,,"5'10""",1,0,0,0,/events/teams/?EventTeamId=Ug2uww1laX%2fVPnLB4r7NDl1RNuJQDCPPw2VZWOlDT4g%3d,Pittsburgh,1,DANIEL O'CONNOR
22,48.0,Jimmy Towle,,,"5'9""",0,0,0,0,/events/teams/?EventTeamId=Ug2uww1laX%2fVPnLB4r7NDl1RNuJQDCPPw2VZWOlDT4g%3d,Pittsburgh,1,JIMMY TOWLE
23,77.0,Dillon Tranquillo,,,,0,0,0,0,/events/teams/?EventTeamId=Ug2uww1laX%2fVPnLB4r7NDl1RNuJQDCPPw2VZWOlDT4g%3d,Pittsburgh,1,DILLON TRANQUILLO
24,81.0,Vince Tranquillo,Deep,,"6'2""",0,0,0,0,/events/teams/?EventTeamId=Ug2uww1laX%2fVPnLB4r7NDl1RNuJQDCPPw2VZWOlDT4g%3d,Pittsburgh,1,VINCE TRANQUILLO
0,3.0,Chris Rogers,,,,0,0,0,0,/events/teams/?EventTeamId=f0uATWXWUuVmOhU5qFwpseoRjhiJrnkc89NyoAjJEK8%3d,Georgia,8,CHRIS ROGERS
1,4.0,Aidan Rogers,Handler,,"5'9""",0,0,0,0,/events/teams/?EventTeamId=f0uATWXWUuVmOhU5qFwpseoRjhiJrnkc89NyoAjJEK8%3d,Georgia,8,AIDAN ROGERS
2,5.0,Elliott Erickson,Defense (Cutter),,"5'9""",8,13,0,0,/events/teams/?EventTeamId=f0uATWXWUuVmOhU5qFwpseoRjhiJrnkc89NyoAjJEK8%3d,Georgia,8,ELLIOTT ERICKSON
3,6.0,Riley Erickson,,,,7,2,0,0,/events/teams/?EventTeamId=f0uATWXWUuVmOhU5qFwpseoRjhiJrnkc89NyoAjJEK8%3d,Georgia,8,RILEY ERICKSON
4,7.0,Parker Bray,,,"6'0""",11,7,0,0,/events/teams/?EventTeamId=f0uATWXWUuVmOhU5qFwpseoRjhiJrnkc89NyoAjJEK8%3d,Georgia,8,PARKER BRAY
5,8.0,Sebastian Di Francesco,,,,4,6,0,0,/events/teams/?EventTeamId=f0uATWXWUuVmOhU5qFwpseoRjhiJrnkc89NyoAjJEK8%3d,Georgia,8,SEBASTIAN DI FRANCESCO
6,9.0,Samuel Little,,,,7,8,0,0,/events/teams/?EventTeamId=f0uATWXWUuVmOhU5qFwpseoRjhiJrnkc89NyoAjJEK8%3d,Georgia,8,SAMUEL LITTLE
7,10.0,Adam Burgess,Mid,,"6'0""",0,0,0,0,/events/teams/?EventTeamId=f0uATWXWUuVmOhU5qFwpseoRjhiJrnkc89NyoAjJEK8%3d,Georgia,8,ADAM BURGESS
8,13.0,Michael Peters,,,,2,0,0,0,/events/teams/?EventTeamId=f0uATWXWUuVmOhU5qFwpseoRjhiJrnkc89NyoAjJEK8%3d,Georgia,8,MICHAEL PETERS
9,14.0,John Langstaff,,,,2,1,0,0,/events/teams/?EventTeamId=f0uATWXWUuVmOhU5qFwpseoRjhiJrnkc89NyoAjJEK8%3d,Georgia,8,JOHN LANGSTAFF
