,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
0,2,Ben Whitfield,,,,2,12,2,12,/events/teams/?EventTeamId=P3qUKE7preg5ztwjcFFOkDCkvt1VXGX4plLPhvkMFCQ%3d,Davidson,8,BEN WHITFIELD
1,3,Ryan Almeida,Cutter,,"6'5""",0,0,0,0,/events/teams/?EventTeamId=P3qUKE7preg5ztwjcFFOkDCkvt1VXGX4plLPhvkMFCQ%3d,Davidson,8,RYAN ALMEIDA
2,6,Isaac Mervis,Cutter,,,14,2,1,2,/events/teams/?EventTeamId=P3qUKE7preg5ztwjcFFOkDCkvt1VXGX4plLPhvkMFCQ%3d,Davidson,8,ISAAC MERVIS
3,9,Henry Siebentritt,,,,8,6,3,5,/events/teams/?EventTeamId=P3qUKE7preg5ztwjcFFOkDCkvt1VXGX4plLPhvkMFCQ%3d,Davidson,8,HENRY SIEBENTRITT
4,11,Paul Brennan,,,"6'9""",5,4,3,2,/events/teams/?EventTeamId=P3qUKE7preg5ztwjcFFOkDCkvt1VXGX4plLPhvkMFCQ%3d,Davidson,8,PAUL BRENNAN
5,12,Michael Robertson,,,,0,0,0,0,/events/teams/?EventTeamId=P3qUKE7preg5ztwjcFFOkDCkvt1VXGX4plLPhvkMFCQ%3d,Davidson,8,MICHAEL ROBERTSON
6,14,Mac Harris,,,"1'0""",10,3,2,3,/events/teams/?EventTeamId=P3qUKE7preg5ztwjcFFOkDCkvt1VXGX4plLPhvkMFCQ%3d,Davidson,8,MAC HARRIS
7,15,Phillip Bader,Defense (Cutter),,"6'5""",0,0,0,0,/events/teams/?EventTeamId=P3qUKE7preg5ztwjcFFOkDCkvt1VXGX4plLPhvkMFCQ%3d,Davidson,8,PHILLIP BADER
8,20,Patrick Spauster,,,"1'0""",10,10,2,6,/events/teams/?EventTeamId=P3qUKE7preg5ztwjcFFOkDCkvt1VXGX4plLPhvkMFCQ%3d,Davidson,8,PATRICK SPAUSTER
9,21,Cullen MacDowell,Handler,,"6'2""",1,6,1,10,/events/teams/?EventTeamId=P3qUKE7preg5ztwjcFFOkDCkvt1VXGX4plLPhvkMFCQ%3d,Davidson,8,CULLEN MACDOWELL
10,22,Dustin Smith,Defense (Cutter),,"5'9""",1,1,1,0,/events/teams/?EventTeamId=P3qUKE7preg5ztwjcFFOkDCkvt1VXGX4plLPhvkMFCQ%3d,Davidson,8,DUSTIN SMITH
11,24,Jonathan Phillips,,,,0,1,0,2,/events/teams/?EventTeamId=P3qUKE7preg5ztwjcFFOkDCkvt1VXGX4plLPhvkMFCQ%3d,Davidson,8,JONATHAN PHILLIPS
12,27,Alex Berro,Handler,,"6'4""",1,4,2,1,/events/teams/?EventTeamId=P3qUKE7preg5ztwjcFFOkDCkvt1VXGX4plLPhvkMFCQ%3d,Davidson,8,ALEX BERRO
13,29,James Taylor,Handler,,"6'1""",0,0,0,0,/events/teams/?EventTeamId=P3qUKE7preg5ztwjcFFOkDCkvt1VXGX4plLPhvkMFCQ%3d,Davidson,8,JAMES TAYLOR
14,30,Dylan Sandlin,,,,0,0,3,1,/events/teams/?EventTeamId=P3qUKE7preg5ztwjcFFOkDCkvt1VXGX4plLPhvkMFCQ%3d,Davidson,8,DYLAN SANDLIN
15,32,Andrew Roy,Handler,,"5'9""",1,6,3,6,/events/teams/?EventTeamId=P3qUKE7preg5ztwjcFFOkDCkvt1VXGX4plLPhvkMFCQ%3d,Davidson,8,ANDREW ROY
16,40,Kevin Endersby,Deep,,"1'1""",5,3,0,5,/events/teams/?EventTeamId=P3qUKE7preg5ztwjcFFOkDCkvt1VXGX4plLPhvkMFCQ%3d,Davidson,8,KEVIN ENDERSBY
17,42,Mohammad Saad Farooq,,,,0,0,0,0,/events/teams/?EventTeamId=P3qUKE7preg5ztwjcFFOkDCkvt1VXGX4plLPhvkMFCQ%3d,Davidson,8,MOHAMMAD SAAD FAROOQ
18,77,Kaylen Alexis,Handler,,"10'10""",2,6,3,8,/events/teams/?EventTeamId=P3qUKE7preg5ztwjcFFOkDCkvt1VXGX4plLPhvkMFCQ%3d,Davidson,8,KAYLEN ALEXIS
19,99,Chris Johnson,Mid,,"6'0""",12,7,7,8,/events/teams/?EventTeamId=P3qUKE7preg5ztwjcFFOkDCkvt1VXGX4plLPhvkMFCQ%3d,Davidson,8,CHRIS JOHNSON
0,3,Jacob Roy,Dump,,"5'7""",1,0,4,1,/events/teams/?EventTeamId=ueZFRK%2fm8o21NpkrDWHcPlQHDYGcst3kj%2foOlEje8hw%3d,Bryant,1,JACOB ROY
1,5,Nicholas Mendoza,Dump,,"5'10""",3,1,0,3,/events/teams/?EventTeamId=ueZFRK%2fm8o21NpkrDWHcPlQHDYGcst3kj%2foOlEje8hw%3d,Bryant,1,NICHOLAS MENDOZA
2,6,Zachary Tuxbury,Dump,,"4'0""",2,3,3,1,/events/teams/?EventTeamId=ueZFRK%2fm8o21NpkrDWHcPlQHDYGcst3kj%2foOlEje8hw%3d,Bryant,1,ZACHARY TUXBURY
3,7,Ryan O'Connor,Dump,,,0,0,0,1,/events/teams/?EventTeamId=ueZFRK%2fm8o21NpkrDWHcPlQHDYGcst3kj%2foOlEje8hw%3d,Bryant,1,RYAN O'CONNOR
4,9,Devyn Oakes,Dump,,,6,0,6,1,/events/teams/?EventTeamId=ueZFRK%2fm8o21NpkrDWHcPlQHDYGcst3kj%2foOlEje8hw%3d,Bryant,1,DEVYN OAKES
5,11,Seth Lundstrom,Dump,,,0,0,1,0,/events/teams/?EventTeamId=ueZFRK%2fm8o21NpkrDWHcPlQHDYGcst3kj%2foOlEje8hw%3d,Bryant,1,SETH LUNDSTROM
6,13,Justin Reynolds,Dump,,,0,1,0,1,/events/teams/?EventTeamId=ueZFRK%2fm8o21NpkrDWHcPlQHDYGcst3kj%2foOlEje8hw%3d,Bryant,1,JUSTIN REYNOLDS
7,14,Austin Kelson,Dump,,"6'0""",4,2,7,4,/events/teams/?EventTeamId=ueZFRK%2fm8o21NpkrDWHcPlQHDYGcst3kj%2foOlEje8hw%3d,Bryant,1,AUSTIN KELSON
8,17,Zack Cyr,Dump,,"6'0""",0,0,0,0,/events/teams/?EventTeamId=ueZFRK%2fm8o21NpkrDWHcPlQHDYGcst3kj%2foOlEje8hw%3d,Bryant,1,ZACK CYR
9,19,Thomas Belger,Dump,,,13,1,1,3,/events/teams/?EventTeamId=ueZFRK%2fm8o21NpkrDWHcPlQHDYGcst3kj%2foOlEje8hw%3d,Bryant,1,THOMAS BELGER
10,28,James Phillips,Dump,,,2,1,4,6,/events/teams/?EventTeamId=ueZFRK%2fm8o21NpkrDWHcPlQHDYGcst3kj%2foOlEje8hw%3d,Bryant,1,JAMES PHILLIPS
11,29,Adrian Alonso-Tavera,Dump,,"5'9""",3,2,2,3,/events/teams/?EventTeamId=ueZFRK%2fm8o21NpkrDWHcPlQHDYGcst3kj%2foOlEje8hw%3d,Bryant,1,ADRIAN ALONSO-TAVERA
12,34,Cameron Jack,Dump,,"6'2""",2,9,4,8,/events/teams/?EventTeamId=ueZFRK%2fm8o21NpkrDWHcPlQHDYGcst3kj%2foOlEje8hw%3d,Bryant,1,CAMERON JACK
13,35,Kendrik Lechner,Dump,,"6'1""",1,4,0,6,/events/teams/?EventTeamId=ueZFRK%2fm8o21NpkrDWHcPlQHDYGcst3kj%2foOlEje8hw%3d,Bryant,1,KENDRIK LECHNER
14,36,Jacob Garfinkel,Dump,,"6'2""",2,15,5,17,/events/teams/?EventTeamId=ueZFRK%2fm8o21NpkrDWHcPlQHDYGcst3kj%2foOlEje8hw%3d,Bryant,1,JACOB GARFINKEL
