,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
0,2,Louisa Winchell,,,,4,2,3,14,/events/teams/?EventTeamId=gK5GVqEa8AfLv9HAWceCDl9Xyf%2fylBjSMcX05j0itjg%3d,Wesleyan,8,LOUISA WINCHELL
1,3,Chi Chi Wakabayashi,Cutter,,"5'5""",13,3,8,5,/events/teams/?EventTeamId=gK5GVqEa8AfLv9HAWceCDl9Xyf%2fylBjSMcX05j0itjg%3d,Wesleyan,8,CHI CHI WAKABAYASHI
2,4,Kelly Jamrog,,,,0,0,1,6,/events/teams/?EventTeamId=gK5GVqEa8AfLv9HAWceCDl9Xyf%2fylBjSMcX05j0itjg%3d,Wesleyan,8,KELLY JAMROG
3,5,Lucy Salwen,,,,3,23,5,40,/events/teams/?EventTeamId=gK5GVqEa8AfLv9HAWceCDl9Xyf%2fylBjSMcX05j0itjg%3d,Wesleyan,8,LUCY SALWEN
4,6,Sarah Dobrow,,,,1,1,2,14,/events/teams/?EventTeamId=gK5GVqEa8AfLv9HAWceCDl9Xyf%2fylBjSMcX05j0itjg%3d,Wesleyan,8,SARAH DOBROW
5,7,Joanna Krupp,,,,2,0,0,2,/events/teams/?EventTeamId=gK5GVqEa8AfLv9HAWceCDl9Xyf%2fylBjSMcX05j0itjg%3d,Wesleyan,8,JOANNA KRUPP
6,11,Eileen Connor,,,,6,2,3,20,/events/teams/?EventTeamId=gK5GVqEa8AfLv9HAWceCDl9Xyf%2fylBjSMcX05j0itjg%3d,Wesleyan,8,EILEEN CONNOR
7,13,Kathryn Wheeler,,,,2,5,7,14,/events/teams/?EventTeamId=gK5GVqEa8AfLv9HAWceCDl9Xyf%2fylBjSMcX05j0itjg%3d,Wesleyan,8,KATHRYN WHEELER
8,14,Amabel Jeon,Mid,,"5'5""",1,3,3,16,/events/teams/?EventTeamId=gK5GVqEa8AfLv9HAWceCDl9Xyf%2fylBjSMcX05j0itjg%3d,Wesleyan,8,AMABEL JEON
9,15,Oona Wallace,,,,1,1,1,5,/events/teams/?EventTeamId=gK5GVqEa8AfLv9HAWceCDl9Xyf%2fylBjSMcX05j0itjg%3d,Wesleyan,8,OONA WALLACE
10,16,Laura Bither,,,,4,0,4,5,/events/teams/?EventTeamId=gK5GVqEa8AfLv9HAWceCDl9Xyf%2fylBjSMcX05j0itjg%3d,Wesleyan,8,LAURA BITHER
11,22,Emma Hall,,,,3,2,5,5,/events/teams/?EventTeamId=gK5GVqEa8AfLv9HAWceCDl9Xyf%2fylBjSMcX05j0itjg%3d,Wesleyan,8,EMMA HALL
12,25,Syd Taylor-Klaus,Handler/Cutter,,"5'7""",0,2,6,15,/events/teams/?EventTeamId=gK5GVqEa8AfLv9HAWceCDl9Xyf%2fylBjSMcX05j0itjg%3d,Wesleyan,8,SYD TAYLOR-KLAUS
13,26,Claire LeGardeur,,,"5'5""",4,0,5,16,/events/teams/?EventTeamId=gK5GVqEa8AfLv9HAWceCDl9Xyf%2fylBjSMcX05j0itjg%3d,Wesleyan,8,CLAIRE LEGARDEUR
14,27,Sage Loomis,,,,6,7,10,22,/events/teams/?EventTeamId=gK5GVqEa8AfLv9HAWceCDl9Xyf%2fylBjSMcX05j0itjg%3d,Wesleyan,8,SAGE LOOMIS
15,30,Liz Mitts,,,,1,0,3,11,/events/teams/?EventTeamId=gK5GVqEa8AfLv9HAWceCDl9Xyf%2fylBjSMcX05j0itjg%3d,Wesleyan,8,LIZ MITTS
16,33,Lily Gould,,,,4,7,5,12,/events/teams/?EventTeamId=gK5GVqEa8AfLv9HAWceCDl9Xyf%2fylBjSMcX05j0itjg%3d,Wesleyan,8,LILY GOULD
17,99,Tessa Hill,,,,10,10,19,22,/events/teams/?EventTeamId=gK5GVqEa8AfLv9HAWceCDl9Xyf%2fylBjSMcX05j0itjg%3d,Wesleyan,8,TESSA HILL
0,1,Louisa Nyhus,,,"1'4""",1,1,0,0,/events/teams/?EventTeamId=yndkdZsOLeC%2f9asyPwFFwRMnnEHqVMeK1TxbbhExrkI%3d,Williams,1,LOUISA NYHUS
1,2,Hannah Lebowitz,,,,1,0,0,1,/events/teams/?EventTeamId=yndkdZsOLeC%2f9asyPwFFwRMnnEHqVMeK1TxbbhExrkI%3d,Williams,1,HANNAH LEBOWITZ
2,3,Sofie Netteberg,,,,2,0,1,1,/events/teams/?EventTeamId=yndkdZsOLeC%2f9asyPwFFwRMnnEHqVMeK1TxbbhExrkI%3d,Williams,1,SOFIE NETTEBERG
3,4,Mairead Reynolds,,,,1,0,1,4,/events/teams/?EventTeamId=yndkdZsOLeC%2f9asyPwFFwRMnnEHqVMeK1TxbbhExrkI%3d,Williams,1,MAIREAD REYNOLDS
4,6,Caley Dickinson,,,,2,4,4,8,/events/teams/?EventTeamId=yndkdZsOLeC%2f9asyPwFFwRMnnEHqVMeK1TxbbhExrkI%3d,Williams,1,CALEY DICKINSON
5,7,Louisa Goss,,,,2,0,3,8,/events/teams/?EventTeamId=yndkdZsOLeC%2f9asyPwFFwRMnnEHqVMeK1TxbbhExrkI%3d,Williams,1,LOUISA GOSS
6,8,Christine Reed,,,,1,1,6,13,/events/teams/?EventTeamId=yndkdZsOLeC%2f9asyPwFFwRMnnEHqVMeK1TxbbhExrkI%3d,Williams,1,CHRISTINE REED
7,9,Haley Lescinsky,Handler/Cutter,,"5'8""",4,7,7,26,/events/teams/?EventTeamId=yndkdZsOLeC%2f9asyPwFFwRMnnEHqVMeK1TxbbhExrkI%3d,Williams,1,HALEY LESCINSKY
8,10,Anna Lietman,,,,0,0,0,1,/events/teams/?EventTeamId=yndkdZsOLeC%2f9asyPwFFwRMnnEHqVMeK1TxbbhExrkI%3d,Williams,1,ANNA LIETMAN
9,11,Elsa Bjornlund,,,,0,0,1,6,/events/teams/?EventTeamId=yndkdZsOLeC%2f9asyPwFFwRMnnEHqVMeK1TxbbhExrkI%3d,Williams,1,ELSA BJORNLUND
10,12,Caroline Weinberg,,,"5'5""",1,2,1,6,/events/teams/?EventTeamId=yndkdZsOLeC%2f9asyPwFFwRMnnEHqVMeK1TxbbhExrkI%3d,Williams,1,CAROLINE WEINBERG
11,13,Mia Wang,,,"5'5""",1,6,4,21,/events/teams/?EventTeamId=yndkdZsOLeC%2f9asyPwFFwRMnnEHqVMeK1TxbbhExrkI%3d,Williams,1,MIA WANG
12,14,Abigail Miller,,,,3,1,0,5,/events/teams/?EventTeamId=yndkdZsOLeC%2f9asyPwFFwRMnnEHqVMeK1TxbbhExrkI%3d,Williams,1,ABIGAIL MILLER
13,15,Casey Phalen,,,,12,4,5,4,/events/teams/?EventTeamId=yndkdZsOLeC%2f9asyPwFFwRMnnEHqVMeK1TxbbhExrkI%3d,Williams,1,CASEY PHALEN
14,16,Liliana Bierer,,,,1,2,3,3,/events/teams/?EventTeamId=yndkdZsOLeC%2f9asyPwFFwRMnnEHqVMeK1TxbbhExrkI%3d,Williams,1,LILIANA BIERER
15,17,Rachel Retica,,,,3,2,7,9,/events/teams/?EventTeamId=yndkdZsOLeC%2f9asyPwFFwRMnnEHqVMeK1TxbbhExrkI%3d,Williams,1,RACHEL RETICA
