,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
0,0,Mike Cavanaugh,,,,3,3,2,2,/events/teams/?EventTeamId=zIcqpy%2biFCIyyy8vAocn3szJT3gslS49oimDzuDZJwg%3d,Seattle Mixtape,8,MIKE CAVANAUGH
1,2,Joel Barker,Defense (Cutter),,,1,0,0,0,/events/teams/?EventTeamId=zIcqpy%2biFCIyyy8vAocn3szJT3gslS49oimDzuDZJwg%3d,Seattle Mixtape,8,JOEL BARKER
2,3,Cam Bailey,Deep,,,10,7,4,13,/events/teams/?EventTeamId=zIcqpy%2biFCIyyy8vAocn3szJT3gslS49oimDzuDZJwg%3d,Seattle Mixtape,8,CAM BAILEY
3,5,Lauren Pattie,Defense (Handler),,,0,0,1,0,/events/teams/?EventTeamId=zIcqpy%2biFCIyyy8vAocn3szJT3gslS49oimDzuDZJwg%3d,Seattle Mixtape,8,LAUREN PATTIE
4,6,Kahyee Fong,Deep,,,2,4,3,2,/events/teams/?EventTeamId=zIcqpy%2biFCIyyy8vAocn3szJT3gslS49oimDzuDZJwg%3d,Seattle Mixtape,8,KAHYEE FONG
5,7,Rachel Bleakney-Bailey,Mid,,,0,0,0,1,/events/teams/?EventTeamId=zIcqpy%2biFCIyyy8vAocn3szJT3gslS49oimDzuDZJwg%3d,Seattle Mixtape,8,RACHEL BLEAKNEY-BAILEY
6,8,Meagan KAPOSTASY,Defense (Cutter),,,2,0,0,1,/events/teams/?EventTeamId=zIcqpy%2biFCIyyy8vAocn3szJT3gslS49oimDzuDZJwg%3d,Seattle Mixtape,8,MEAGAN KAPOSTASY
7,9,Jennifer Cogburn,Deep,,,9,1,3,2,/events/teams/?EventTeamId=zIcqpy%2biFCIyyy8vAocn3szJT3gslS49oimDzuDZJwg%3d,Seattle Mixtape,8,JENNIFER COGBURN
8,10,Lexi Garrity,Defense (Cutter),,"5'6""",2,0,1,2,/events/teams/?EventTeamId=zIcqpy%2biFCIyyy8vAocn3szJT3gslS49oimDzuDZJwg%3d,Seattle Mixtape,8,LEXI GARRITY
9,11,Bert ABBOTT,Defense (Handler),,"5'6""",5,8,0,5,/events/teams/?EventTeamId=zIcqpy%2biFCIyyy8vAocn3szJT3gslS49oimDzuDZJwg%3d,Seattle Mixtape,8,BERT ABBOTT
10,12,Brad Houser,Mid,,,13,10,4,13,/events/teams/?EventTeamId=zIcqpy%2biFCIyyy8vAocn3szJT3gslS49oimDzuDZJwg%3d,Seattle Mixtape,8,BRAD HOUSER
11,15,Emily Paul,Cutter,,"5'3""",0,0,0,0,/events/teams/?EventTeamId=zIcqpy%2biFCIyyy8vAocn3szJT3gslS49oimDzuDZJwg%3d,Seattle Mixtape,8,EMILY PAUL
12,17,Taylor Kanemori,Mid,,,1,0,1,0,/events/teams/?EventTeamId=zIcqpy%2biFCIyyy8vAocn3szJT3gslS49oimDzuDZJwg%3d,Seattle Mixtape,8,TAYLOR KANEMORI
13,20,Grace Noah,Mid,,"5'6""",1,1,1,1,/events/teams/?EventTeamId=zIcqpy%2biFCIyyy8vAocn3szJT3gslS49oimDzuDZJwg%3d,Seattle Mixtape,8,GRACE NOAH
14,21,Lucy Williams,Handler,,,0,3,1,4,/events/teams/?EventTeamId=zIcqpy%2biFCIyyy8vAocn3szJT3gslS49oimDzuDZJwg%3d,Seattle Mixtape,8,LUCY WILLIAMS
15,22,Evan Klein,Defense (Cutter),,,8,9,7,4,/events/teams/?EventTeamId=zIcqpy%2biFCIyyy8vAocn3szJT3gslS49oimDzuDZJwg%3d,Seattle Mixtape,8,EVAN KLEIN
16,24,Alex Duffel,Defense (Handler),,,4,3,0,2,/events/teams/?EventTeamId=zIcqpy%2biFCIyyy8vAocn3szJT3gslS49oimDzuDZJwg%3d,Seattle Mixtape,8,ALEX DUFFEL
17,27,Dominic Cavalero,Defense (Handler),,,0,3,1,4,/events/teams/?EventTeamId=zIcqpy%2biFCIyyy8vAocn3szJT3gslS49oimDzuDZJwg%3d,Seattle Mixtape,8,DOMINIC CAVALERO
18,28,Claire Revere,,,"5'5""",8,2,0,1,/events/teams/?EventTeamId=zIcqpy%2biFCIyyy8vAocn3szJT3gslS49oimDzuDZJwg%3d,Seattle Mixtape,8,CLAIRE REVERE
19,31,Henry Phan,Defense (Handler),,,3,15,2,9,/events/teams/?EventTeamId=zIcqpy%2biFCIyyy8vAocn3szJT3gslS49oimDzuDZJwg%3d,Seattle Mixtape,8,HENRY PHAN
20,32,Daniel Walton,Defense (Cutter/Handler),,"6'1""",2,3,3,8,/events/teams/?EventTeamId=zIcqpy%2biFCIyyy8vAocn3szJT3gslS49oimDzuDZJwg%3d,Seattle Mixtape,8,DANIEL WALTON
21,33,Deborah Lee,Deep,,,2,0,2,2,/events/teams/?EventTeamId=zIcqpy%2biFCIyyy8vAocn3szJT3gslS49oimDzuDZJwg%3d,Seattle Mixtape,8,DEBORAH LEE
22,50,Nicholas Dare,Handler,,"6'1""",0,2,2,6,/events/teams/?EventTeamId=zIcqpy%2biFCIyyy8vAocn3szJT3gslS49oimDzuDZJwg%3d,Seattle Mixtape,8,NICHOLAS DARE
23,81,Lani Nguyen,Handler/Cutter,,"5'3""",7,2,0,1,/events/teams/?EventTeamId=zIcqpy%2biFCIyyy8vAocn3szJT3gslS49oimDzuDZJwg%3d,Seattle Mixtape,8,LANI NGUYEN
24,85,Phil Paul,Handler,,,4,11,0,7,/events/teams/?EventTeamId=zIcqpy%2biFCIyyy8vAocn3szJT3gslS49oimDzuDZJwg%3d,Seattle Mixtape,8,PHIL PAUL
25,99,Khalif El-Salaam,Defense (Cutter),,,10,9,6,13,/events/teams/?EventTeamId=zIcqpy%2biFCIyyy8vAocn3szJT3gslS49oimDzuDZJwg%3d,Seattle Mixtape,8,KHALIF EL-SALAAM
