,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
0,0,Alexandra Ode,Cutter,,"5'8""",0,1,0,0,/events/teams/?EventTeamId=1F5D0Xyvx7IyQOC5SH7O2ojGIZk5syH4ZeE9EWWwkcw%3d,Seattle Riot,1,ALEXANDRA ODE
1,1,Kelly Johnson,Handler,,,0,3,2,0,/events/teams/?EventTeamId=1F5D0Xyvx7IyQOC5SH7O2ojGIZk5syH4ZeE9EWWwkcw%3d,Seattle Riot,1,KELLY JOHNSON
2,2,Lucy Williams,,,,0,1,1,1,/events/teams/?EventTeamId=1F5D0Xyvx7IyQOC5SH7O2ojGIZk5syH4ZeE9EWWwkcw%3d,Seattle Riot,1,LUCY WILLIAMS
3,5,Paige Soper,Handler,,,1,3,1,2,/events/teams/?EventTeamId=1F5D0Xyvx7IyQOC5SH7O2ojGIZk5syH4ZeE9EWWwkcw%3d,Seattle Riot,1,PAIGE SOPER
4,6,Sarah Griffith,Deep,,,6,2,1,6,/events/teams/?EventTeamId=1F5D0Xyvx7IyQOC5SH7O2ojGIZk5syH4ZeE9EWWwkcw%3d,Seattle Riot,1,SARAH GRIFFITH
5,7,Calise Cardenas,Deep,,,3,4,1,1,/events/teams/?EventTeamId=1F5D0Xyvx7IyQOC5SH7O2ojGIZk5syH4ZeE9EWWwkcw%3d,Seattle Riot,1,CALISE CARDENAS
6,8,Rachel Bradshaw,Deep,,,6,2,1,1,/events/teams/?EventTeamId=1F5D0Xyvx7IyQOC5SH7O2ojGIZk5syH4ZeE9EWWwkcw%3d,Seattle Riot,1,RACHEL BRADSHAW
7,9,Qxhna Titcomb,Handler,,"5'7""",3,3,1,1,/events/teams/?EventTeamId=1F5D0Xyvx7IyQOC5SH7O2ojGIZk5syH4ZeE9EWWwkcw%3d,Seattle Riot,1,QXHNA TITCOMB
8,10,Shira Stern,Handler,,"5'5""",2,1,0,3,/events/teams/?EventTeamId=1F5D0Xyvx7IyQOC5SH7O2ojGIZk5syH4ZeE9EWWwkcw%3d,Seattle Riot,1,SHIRA STERN
9,11,Nora Landri,Handler/Cutter,,,1,0,1,2,/events/teams/?EventTeamId=1F5D0Xyvx7IyQOC5SH7O2ojGIZk5syH4ZeE9EWWwkcw%3d,Seattle Riot,1,NORA LANDRI
