,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
0,3,Rachel Thomson,Cutter,,,3,4,2,6,/events/teams/?EventTeamId=37NIVERCj8IHaPsAiEqztZlivfsTlonkmzmCKdvwvjA%3d,Stanford,1,RACHEL THOMSON
1,5,Anne Gordon,Cutter,,"5'5""",7,3,2,5,/events/teams/?EventTeamId=37NIVERCj8IHaPsAiEqztZlivfsTlonkmzmCKdvwvjA%3d,Stanford,1,ANNE GORDON
2,6,Carly Eckstrom,Cutter,,"5'2""",3,3,3,9,/events/teams/?EventTeamId=37NIVERCj8IHaPsAiEqztZlivfsTlonkmzmCKdvwvjA%3d,Stanford,1,CARLY ECKSTROM
3,10,Sesha McMinn,,,,1,0,0,0,/events/teams/?EventTeamId=37NIVERCj8IHaPsAiEqztZlivfsTlonkmzmCKdvwvjA%3d,Stanford,1,SESHA MCMINN
4,11,Bridget Connor,,,,2,0,2,3,/events/teams/?EventTeamId=37NIVERCj8IHaPsAiEqztZlivfsTlonkmzmCKdvwvjA%3d,Stanford,1,BRIDGET CONNOR
5,12,Rosemarie Sandino,Cutter,,,5,2,3,6,/events/teams/?EventTeamId=37NIVERCj8IHaPsAiEqztZlivfsTlonkmzmCKdvwvjA%3d,Stanford,1,ROSEMARIE SANDINO
6,14,Monisha White,Handler,,,1,5,4,4,/events/teams/?EventTeamId=37NIVERCj8IHaPsAiEqztZlivfsTlonkmzmCKdvwvjA%3d,Stanford,1,MONISHA WHITE
7,17,Marie Payne,,,,2,1,0,1,/events/teams/?EventTeamId=37NIVERCj8IHaPsAiEqztZlivfsTlonkmzmCKdvwvjA%3d,Stanford,1,MARIE PAYNE
8,18,Michelle McGhee,Cutter,,"5'8""",2,7,5,15,/events/teams/?EventTeamId=37NIVERCj8IHaPsAiEqztZlivfsTlonkmzmCKdvwvjA%3d,Stanford,1,MICHELLE MCGHEE
9,20,Elise Bruguera,,,,0,2,1,4,/events/teams/?EventTeamId=37NIVERCj8IHaPsAiEqztZlivfsTlonkmzmCKdvwvjA%3d,Stanford,1,ELISE BRUGUERA
10,22,Rachel Gianforte,Handler/Cutter,,"5'6""",0,1,2,3,/events/teams/?EventTeamId=37NIVERCj8IHaPsAiEqztZlivfsTlonkmzmCKdvwvjA%3d,Stanford,1,RACHEL GIANFORTE
11,23,Courtney Gegg,Cutter,,"6'0""",15,10,8,13,/events/teams/?EventTeamId=37NIVERCj8IHaPsAiEqztZlivfsTlonkmzmCKdvwvjA%3d,Stanford,1,COURTNEY GEGG
