,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
0,0,Mike Cavanaugh,,,,0,1,1,1,/events/teams/?EventTeamId=h5u0ACNVOV0Z4MfFWVoMsVQ9%2fGS5FaM%2filw84JulKWU%3d,Seattle Mixtape,1,MIKE CAVANAUGH
1,2,Kahyee Fong,Deep,,,4,1,2,4,/events/teams/?EventTeamId=h5u0ACNVOV0Z4MfFWVoMsVQ9%2fGS5FaM%2filw84JulKWU%3d,Seattle Mixtape,1,KAHYEE FONG
2,3,Cam Bailey,Deep,,,5,2,4,8,/events/teams/?EventTeamId=h5u0ACNVOV0Z4MfFWVoMsVQ9%2fGS5FaM%2filw84JulKWU%3d,Seattle Mixtape,1,CAM BAILEY
3,4,Zhi Chen,Defense (Handler),,"1'0""",2,2,0,1,/events/teams/?EventTeamId=h5u0ACNVOV0Z4MfFWVoMsVQ9%2fGS5FaM%2filw84JulKWU%3d,Seattle Mixtape,1,ZHI CHEN
4,7,Arianne Lozano,Defense (Cutter),,"5'5""",0,0,1,0,/events/teams/?EventTeamId=h5u0ACNVOV0Z4MfFWVoMsVQ9%2fGS5FaM%2filw84JulKWU%3d,Seattle Mixtape,1,ARIANNE LOZANO
5,8,Meagan Kapostasy,Defense (Cutter),,,0,0,0,1,/events/teams/?EventTeamId=h5u0ACNVOV0Z4MfFWVoMsVQ9%2fGS5FaM%2filw84JulKWU%3d,Seattle Mixtape,1,MEAGAN KAPOSTASY
6,9,Jennifer Cogburn,Deep,,,3,3,3,3,/events/teams/?EventTeamId=h5u0ACNVOV0Z4MfFWVoMsVQ9%2fGS5FaM%2filw84JulKWU%3d,Seattle Mixtape,1,JENNIFER COGBURN
7,10,Lexi Garrity,Defense (Cutter),,"5'6""",3,0,3,0,/events/teams/?EventTeamId=h5u0ACNVOV0Z4MfFWVoMsVQ9%2fGS5FaM%2filw84JulKWU%3d,Seattle Mixtape,1,LEXI GARRITY
8,11,Bert Abbott,Defense (Handler),,"5'6""",1,0,1,2,/events/teams/?EventTeamId=h5u0ACNVOV0Z4MfFWVoMsVQ9%2fGS5FaM%2filw84JulKWU%3d,Seattle Mixtape,1,BERT ABBOTT
9,12,Brad Houser,Mid,,,16,6,6,7,/events/teams/?EventTeamId=h5u0ACNVOV0Z4MfFWVoMsVQ9%2fGS5FaM%2filw84JulKWU%3d,Seattle Mixtape,1,BRAD HOUSER
10,15,Drew Johnson,,,"5'8""",0,1,0,4,/events/teams/?EventTeamId=h5u0ACNVOV0Z4MfFWVoMsVQ9%2fGS5FaM%2filw84JulKWU%3d,Seattle Mixtape,1,DREW JOHNSON
11,16,Mark Burton,Cutter,,,7,23,3,7,/events/teams/?EventTeamId=h5u0ACNVOV0Z4MfFWVoMsVQ9%2fGS5FaM%2filw84JulKWU%3d,Seattle Mixtape,1,MARK BURTON
