,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
0,0,Alexandra Ode,Cutter,,"5'8""",2,1,1,1,/events/teams/?EventTeamId=WOm6LEN0GeA%2bN39pQs67A6%2bPK8SAJ1z%2bNZiSaPOOuKE%3d,Seattle Riot,1,ALEXANDRA ODE
1,1,Kelly Johnson,Handler,,,1,5,2,5,/events/teams/?EventTeamId=WOm6LEN0GeA%2bN39pQs67A6%2bPK8SAJ1z%2bNZiSaPOOuKE%3d,Seattle Riot,1,KELLY JOHNSON
2,2,Lucy Williams,,,,1,3,1,2,/events/teams/?EventTeamId=WOm6LEN0GeA%2bN39pQs67A6%2bPK8SAJ1z%2bNZiSaPOOuKE%3d,Seattle Riot,1,LUCY WILLIAMS
3,5,Paige Soper,Handler,,,1,4,1,2,/events/teams/?EventTeamId=WOm6LEN0GeA%2bN39pQs67A6%2bPK8SAJ1z%2bNZiSaPOOuKE%3d,Seattle Riot,1,PAIGE SOPER
4,6,Sarah Griffith,Deep,,,10,4,4,7,/events/teams/?EventTeamId=WOm6LEN0GeA%2bN39pQs67A6%2bPK8SAJ1z%2bNZiSaPOOuKE%3d,Seattle Riot,1,SARAH GRIFFITH
5,7,Calise Cardenas,Deep,,,3,6,2,5,/events/teams/?EventTeamId=WOm6LEN0GeA%2bN39pQs67A6%2bPK8SAJ1z%2bNZiSaPOOuKE%3d,Seattle Riot,1,CALISE CARDENAS
6,8,Rachel Bradshaw,Deep,,,10,3,1,2,/events/teams/?EventTeamId=WOm6LEN0GeA%2bN39pQs67A6%2bPK8SAJ1z%2bNZiSaPOOuKE%3d,Seattle Riot,1,RACHEL BRADSHAW
7,9,Qxhna Titcomb,Handler,,"5'7""",4,6,1,5,/events/teams/?EventTeamId=WOm6LEN0GeA%2bN39pQs67A6%2bPK8SAJ1z%2bNZiSaPOOuKE%3d,Seattle Riot,1,QXHNA TITCOMB
8,10,Shira Stern,Handler,,"5'5""",11,3,2,3,/events/teams/?EventTeamId=WOm6LEN0GeA%2bN39pQs67A6%2bPK8SAJ1z%2bNZiSaPOOuKE%3d,Seattle Riot,1,SHIRA STERN
9,11,Nora Landri,Handler/Cutter,,,2,1,1,4,/events/teams/?EventTeamId=WOm6LEN0GeA%2bN39pQs67A6%2bPK8SAJ1z%2bNZiSaPOOuKE%3d,Seattle Riot,1,NORA LANDRI
10,12,Callie Mah,Handler,,,3,4,1,1,/events/teams/?EventTeamId=WOm6LEN0GeA%2bN39pQs67A6%2bPK8SAJ1z%2bNZiSaPOOuKE%3d,Seattle Riot,1,CALLIE MAH
11,13,Kirstin Gruver,,,,6,1,0,2,/events/teams/?EventTeamId=WOm6LEN0GeA%2bN39pQs67A6%2bPK8SAJ1z%2bNZiSaPOOuKE%3d,Seattle Riot,1,KIRSTIN GRUVER
12,14,Hana Kawai,Deep,,,4,3,4,2,/events/teams/?EventTeamId=WOm6LEN0GeA%2bN39pQs67A6%2bPK8SAJ1z%2bNZiSaPOOuKE%3d,Seattle Riot,1,HANA KAWAI
13,15,Bailey Zahniser,Cutter,,,1,3,3,9,/events/teams/?EventTeamId=WOm6LEN0GeA%2bN39pQs67A6%2bPK8SAJ1z%2bNZiSaPOOuKE%3d,Seattle Riot,1,BAILEY ZAHNISER
14,16,Cassandra Swafford,Handler/Cutter,,,5,1,4,3,/events/teams/?EventTeamId=WOm6LEN0GeA%2bN39pQs67A6%2bPK8SAJ1z%2bNZiSaPOOuKE%3d,Seattle Riot,1,CASSANDRA SWAFFORD
15,17,Dominique Fontenette,Mid,,,2,5,1,2,/events/teams/?EventTeamId=WOm6LEN0GeA%2bN39pQs67A6%2bPK8SAJ1z%2bNZiSaPOOuKE%3d,Seattle Riot,1,DOMINIQUE FONTENETTE
16,18,Madeline Gilbert,Cutter,,"1'0""",2,1,2,3,/events/teams/?EventTeamId=WOm6LEN0GeA%2bN39pQs67A6%2bPK8SAJ1z%2bNZiSaPOOuKE%3d,Seattle Riot,1,MADELINE GILBERT
17,20,Kristin (Charlie) Eide,Handler/Cutter,,"5'7""",2,2,1,8,/events/teams/?EventTeamId=WOm6LEN0GeA%2bN39pQs67A6%2bPK8SAJ1z%2bNZiSaPOOuKE%3d,Seattle Riot,1,KRISTIN (CHARLIE) EIDE
18,21,Molly McKeon,Deep,,"5'5""",2,0,0,0,/events/teams/?EventTeamId=WOm6LEN0GeA%2bN39pQs67A6%2bPK8SAJ1z%2bNZiSaPOOuKE%3d,Seattle Riot,1,MOLLY MCKEON
19,22,Jaclyn Verzuh,Dump,,"6'0""",2,4,3,7,/events/teams/?EventTeamId=WOm6LEN0GeA%2bN39pQs67A6%2bPK8SAJ1z%2bNZiSaPOOuKE%3d,Seattle Riot,1,JACLYN VERZUH
20,23,Aimie Kawai,Cutter,,,0,2,1,1,/events/teams/?EventTeamId=WOm6LEN0GeA%2bN39pQs67A6%2bPK8SAJ1z%2bNZiSaPOOuKE%3d,Seattle Riot,1,AIMIE KAWAI
