,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
0,0,Jared Madore,Deep,,"6'2""",2,0,1,1,/events/teams/?EventTeamId=BndwzvW4zpPzxsyqcwY2GmABQFooniHy47ZSV%2fho6UY%3d,Massachusetts,1,JARED MADORE
1,3,Ben Sadok,Deep,,"5'5""",14,30,2,11,/events/teams/?EventTeamId=BndwzvW4zpPzxsyqcwY2GmABQFooniHy47ZSV%2fho6UY%3d,Massachusetts,1,BEN SADOK
2,4,Ciaran Shaughnessy,Deep,,"5'11""",1,2,0,0,/events/teams/?EventTeamId=BndwzvW4zpPzxsyqcwY2GmABQFooniHy47ZSV%2fho6UY%3d,Massachusetts,1,CIARAN SHAUGHNESSY
3,5,Jake Radack,Deep,,"5'10""",6,4,2,6,/events/teams/?EventTeamId=BndwzvW4zpPzxsyqcwY2GmABQFooniHy47ZSV%2fho6UY%3d,Massachusetts,1,JAKE RADACK
4,7,Gabriel Schmitt,Deep,,"5'11""",0,1,0,0,/events/teams/?EventTeamId=BndwzvW4zpPzxsyqcwY2GmABQFooniHy47ZSV%2fho6UY%3d,Massachusetts,1,GABRIEL SCHMITT
5,8,Dustin Baglow,Deep,,"5'10""",0,1,1,0,/events/teams/?EventTeamId=BndwzvW4zpPzxsyqcwY2GmABQFooniHy47ZSV%2fho6UY%3d,Massachusetts,1,DUSTIN BAGLOW
6,14,Gregory Oreste,Deep,,"5'9""",0,0,0,1,/events/teams/?EventTeamId=BndwzvW4zpPzxsyqcwY2GmABQFooniHy47ZSV%2fho6UY%3d,Massachusetts,1,GREGORY ORESTE
7,15,Tannor Johnson,Deep,,"6'3""",10,7,5,12,/events/teams/?EventTeamId=BndwzvW4zpPzxsyqcwY2GmABQFooniHy47ZSV%2fho6UY%3d,Massachusetts,1,TANNOR JOHNSON
8,16,Giancarlo Cincotta,Deep,,,1,0,0,0,/events/teams/?EventTeamId=BndwzvW4zpPzxsyqcwY2GmABQFooniHy47ZSV%2fho6UY%3d,Massachusetts,1,GIANCARLO CINCOTTA
9,18,Brett Gramann,Deep,,"5'9""",7,11,3,10,/events/teams/?EventTeamId=BndwzvW4zpPzxsyqcwY2GmABQFooniHy47ZSV%2fho6UY%3d,Massachusetts,1,BRETT GRAMANN
