,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
0,0.0,Luke Lanoue,Cutter,,,0,1,0,0,/events/teams/?EventTeamId=7FZZpqin1DZV9D%2bKCbFAVFwoIZiiBJkFurjRcJRFx0I%3d,Wild Card,1,LUKE LANOUE
1,1.0,Lauren Nelson,Cutter,,,2,1,0,0,/events/teams/?EventTeamId=7FZZpqin1DZV9D%2bKCbFAVFwoIZiiBJkFurjRcJRFx0I%3d,Wild Card,1,LAUREN NELSON
2,2.0,Evan Swiatek,,,,2,0,0,0,/events/teams/?EventTeamId=7FZZpqin1DZV9D%2bKCbFAVFwoIZiiBJkFurjRcJRFx0I%3d,Wild Card,1,EVAN SWIATEK
3,3.0,Cody McInnis,,,,4,2,0,0,/events/teams/?EventTeamId=7FZZpqin1DZV9D%2bKCbFAVFwoIZiiBJkFurjRcJRFx0I%3d,Wild Card,1,CODY MCINNIS
4,4.0,Hannah Crowley,Cutter,,"5'4""",0,0,0,0,/events/teams/?EventTeamId=7FZZpqin1DZV9D%2bKCbFAVFwoIZiiBJkFurjRcJRFx0I%3d,Wild Card,1,HANNAH CROWLEY
5,5.0,Andrew Pillsbury,Cutter,,"6'3""",1,2,0,0,/events/teams/?EventTeamId=7FZZpqin1DZV9D%2bKCbFAVFwoIZiiBJkFurjRcJRFx0I%3d,Wild Card,1,ANDREW PILLSBURY
6,6.0,Joseph Carreiro,,,,0,0,0,0,/events/teams/?EventTeamId=7FZZpqin1DZV9D%2bKCbFAVFwoIZiiBJkFurjRcJRFx0I%3d,Wild Card,1,JOSEPH CARREIRO
7,7.0,Maxwell Rick,Handler,,,0,0,0,0,/events/teams/?EventTeamId=7FZZpqin1DZV9D%2bKCbFAVFwoIZiiBJkFurjRcJRFx0I%3d,Wild Card,1,MAXWELL RICK
8,8.0,Connor Fortin,Cutter,,"5'6""",3,0,0,0,/events/teams/?EventTeamId=7FZZpqin1DZV9D%2bKCbFAVFwoIZiiBJkFurjRcJRFx0I%3d,Wild Card,1,CONNOR FORTIN
9,9.0,John Rahill,Cutter,,"5'10""",1,1,0,0,/events/teams/?EventTeamId=7FZZpqin1DZV9D%2bKCbFAVFwoIZiiBJkFurjRcJRFx0I%3d,Wild Card,1,JOHN RAHILL
10,10.0,Annika Chan,Handler,,"5'7""",0,0,0,0,/events/teams/?EventTeamId=7FZZpqin1DZV9D%2bKCbFAVFwoIZiiBJkFurjRcJRFx0I%3d,Wild Card,1,ANNIKA CHAN
11,11.0,Lloyd Olson,Cutter,,"6'0""",0,2,0,0,/events/teams/?EventTeamId=7FZZpqin1DZV9D%2bKCbFAVFwoIZiiBJkFurjRcJRFx0I%3d,Wild Card,1,LLOYD OLSON
12,15.0,Claire Dunn,Deep,,,0,3,0,0,/events/teams/?EventTeamId=7FZZpqin1DZV9D%2bKCbFAVFwoIZiiBJkFurjRcJRFx0I%3d,Wild Card,1,CLAIRE DUNN
13,17.0,Tamar Austin,,,,1,0,0,0,/events/teams/?EventTeamId=7FZZpqin1DZV9D%2bKCbFAVFwoIZiiBJkFurjRcJRFx0I%3d,Wild Card,1,TAMAR AUSTIN
14,21.0,Eva Petzinger,Handler/Cutter,,,3,0,0,0,/events/teams/?EventTeamId=7FZZpqin1DZV9D%2bKCbFAVFwoIZiiBJkFurjRcJRFx0I%3d,Wild Card,1,EVA PETZINGER
15,23.0,Jodi Robert,Cutter,,"5'6""",1,0,0,0,/events/teams/?EventTeamId=7FZZpqin1DZV9D%2bKCbFAVFwoIZiiBJkFurjRcJRFx0I%3d,Wild Card,1,JODI ROBERT
16,25.0,Judy Ledlee,Cutter,,,0,0,0,0,/events/teams/?EventTeamId=7FZZpqin1DZV9D%2bKCbFAVFwoIZiiBJkFurjRcJRFx0I%3d,Wild Card,1,JUDY LEDLEE
17,27.0,Sarah Judd,,,"5'6""",0,0,0,0,/events/teams/?EventTeamId=7FZZpqin1DZV9D%2bKCbFAVFwoIZiiBJkFurjRcJRFx0I%3d,Wild Card,1,SARAH JUDD
18,31.0,Sarah Hansen,,,"5'7""",0,0,0,0,/events/teams/?EventTeamId=7FZZpqin1DZV9D%2bKCbFAVFwoIZiiBJkFurjRcJRFx0I%3d,Wild Card,1,SARAH HANSEN
19,33.0,Margo Urheim,,,,0,0,0,0,/events/teams/?EventTeamId=7FZZpqin1DZV9D%2bKCbFAVFwoIZiiBJkFurjRcJRFx0I%3d,Wild Card,1,MARGO URHEIM
20,34.0,Gustav Haflin,Cutter,,"6'3""",3,0,0,0,/events/teams/?EventTeamId=7FZZpqin1DZV9D%2bKCbFAVFwoIZiiBJkFurjRcJRFx0I%3d,Wild Card,1,GUSTAV HAFLIN
21,37.0,Matthew Heath,Handler,,"6'2""",3,6,0,0,/events/teams/?EventTeamId=7FZZpqin1DZV9D%2bKCbFAVFwoIZiiBJkFurjRcJRFx0I%3d,Wild Card,1,MATTHEW HEATH
22,38.0,Nikhil Bhatia-Lin,,,"6'0""",1,1,0,0,/events/teams/?EventTeamId=7FZZpqin1DZV9D%2bKCbFAVFwoIZiiBJkFurjRcJRFx0I%3d,Wild Card,1,NIKHIL BHATIA-LIN
23,46.0,Luke Webb,,,,5,1,0,0,/events/teams/?EventTeamId=7FZZpqin1DZV9D%2bKCbFAVFwoIZiiBJkFurjRcJRFx0I%3d,Wild Card,1,LUKE WEBB
24,73.0,Katharine Sullivan,Cutter,,"1'1""",2,0,0,0,/events/teams/?EventTeamId=7FZZpqin1DZV9D%2bKCbFAVFwoIZiiBJkFurjRcJRFx0I%3d,Wild Card,1,KATHARINE SULLIVAN
25,88.0,Hailey Alm,Cutter,,,1,3,0,0,/events/teams/?EventTeamId=7FZZpqin1DZV9D%2bKCbFAVFwoIZiiBJkFurjRcJRFx0I%3d,Wild Card,1,HAILEY ALM
26,99.0,Reba Havis,,,,1,1,0,0,/events/teams/?EventTeamId=7FZZpqin1DZV9D%2bKCbFAVFwoIZiiBJkFurjRcJRFx0I%3d,Wild Card,1,REBA HAVIS
0,0.0,Brielle Le Clear,,,"6'0""",1,0,0,0,/events/teams/?EventTeamId=JZ9Wt9DCzBIMUyFn7CYEHJjMD3ULTolwkrrZH9HyJAg%3d,Toro,8,BRIELLE LE CLEAR
1,1.0,Kirkwood Alex Cloud,,,"1'0""",1,3,0,0,/events/teams/?EventTeamId=JZ9Wt9DCzBIMUyFn7CYEHJjMD3ULTolwkrrZH9HyJAg%3d,Toro,8,KIRKWOOD ALEX CLOUD
2,2.0,Margie Quinn,,,,0,0,0,0,/events/teams/?EventTeamId=JZ9Wt9DCzBIMUyFn7CYEHJjMD3ULTolwkrrZH9HyJAg%3d,Toro,8,MARGIE QUINN
3,3.0,Dean Culver,,,,1,2,0,0,/events/teams/?EventTeamId=JZ9Wt9DCzBIMUyFn7CYEHJjMD3ULTolwkrrZH9HyJAg%3d,Toro,8,DEAN CULVER
4,5.0,Matthew Thomas,,,,0,0,0,0,/events/teams/?EventTeamId=JZ9Wt9DCzBIMUyFn7CYEHJjMD3ULTolwkrrZH9HyJAg%3d,Toro,8,MATTHEW THOMAS
5,7.0,Lyra Olson,,,,0,0,0,0,/events/teams/?EventTeamId=JZ9Wt9DCzBIMUyFn7CYEHJjMD3ULTolwkrrZH9HyJAg%3d,Toro,8,LYRA OLSON
