,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
0,0.0,Melissa Devlin,,,,1,5,0,0,/events/teams/?EventTeamId=0pvFYdbDZsACJ8c%2fet7xAHDpzIWoDS5rGW24NgEFa9Q%3d,Molly Brown,1,MELISSA DEVLIN
1,2.0,Jesse Shofner,,,,2,8,0,0,/events/teams/?EventTeamId=0pvFYdbDZsACJ8c%2fet7xAHDpzIWoDS5rGW24NgEFa9Q%3d,Molly Brown,1,JESSE SHOFNER
2,3.0,Maggie Chen,,,"5'6""",4,3,0,0,/events/teams/?EventTeamId=0pvFYdbDZsACJ8c%2fet7xAHDpzIWoDS5rGW24NgEFa9Q%3d,Molly Brown,1,MAGGIE CHEN
3,4.0,Liza Minor,,,,10,3,0,0,/events/teams/?EventTeamId=0pvFYdbDZsACJ8c%2fet7xAHDpzIWoDS5rGW24NgEFa9Q%3d,Molly Brown,1,LIZA MINOR
4,5.0,Nhi Nguyen,,,"5'5""",0,0,0,0,/events/teams/?EventTeamId=0pvFYdbDZsACJ8c%2fet7xAHDpzIWoDS5rGW24NgEFa9Q%3d,Molly Brown,1,NHI NGUYEN
5,6.0,Samantha Peletier,,,,1,0,0,0,/events/teams/?EventTeamId=0pvFYdbDZsACJ8c%2fet7xAHDpzIWoDS5rGW24NgEFa9Q%3d,Molly Brown,1,SAMANTHA PELETIER
6,7.0,Paige Applegate,,,"5'7""",3,6,0,0,/events/teams/?EventTeamId=0pvFYdbDZsACJ8c%2fet7xAHDpzIWoDS5rGW24NgEFa9Q%3d,Molly Brown,1,PAIGE APPLEGATE
7,10.0,Lauren Baecher,,,,0,0,0,0,/events/teams/?EventTeamId=0pvFYdbDZsACJ8c%2fet7xAHDpzIWoDS5rGW24NgEFa9Q%3d,Molly Brown,1,LAUREN BAECHER
8,11.0,Dena Slattery,,,,3,7,0,0,/events/teams/?EventTeamId=0pvFYdbDZsACJ8c%2fet7xAHDpzIWoDS5rGW24NgEFa9Q%3d,Molly Brown,1,DENA SLATTERY
9,12.0,Liz Kaloupek,,,"5'5""",2,0,0,0,/events/teams/?EventTeamId=0pvFYdbDZsACJ8c%2fet7xAHDpzIWoDS5rGW24NgEFa9Q%3d,Molly Brown,1,LIZ KALOUPEK
10,13.0,Alika Johnston,,,"5'4""",1,3,0,0,/events/teams/?EventTeamId=0pvFYdbDZsACJ8c%2fet7xAHDpzIWoDS5rGW24NgEFa9Q%3d,Molly Brown,1,ALIKA JOHNSTON
11,15.0,Sara Taggart,,,,8,7,0,0,/events/teams/?EventTeamId=0pvFYdbDZsACJ8c%2fet7xAHDpzIWoDS5rGW24NgEFa9Q%3d,Molly Brown,1,SARA TAGGART
12,20.0,Kiera Lindgren,,,"5'3""",3,1,0,0,/events/teams/?EventTeamId=0pvFYdbDZsACJ8c%2fet7xAHDpzIWoDS5rGW24NgEFa9Q%3d,Molly Brown,1,KIERA LINDGREN
13,21.0,Chelsea Twohig,,,"5'6""",3,1,0,0,/events/teams/?EventTeamId=0pvFYdbDZsACJ8c%2fet7xAHDpzIWoDS5rGW24NgEFa9Q%3d,Molly Brown,1,CHELSEA TWOHIG
14,22.0,Allysha Dixon,,,"5'3""",2,2,0,0,/events/teams/?EventTeamId=0pvFYdbDZsACJ8c%2fet7xAHDpzIWoDS5rGW24NgEFa9Q%3d,Molly Brown,1,ALLYSHA DIXON
15,24.0,Alex Hardesty,,,,1,2,0,0,/events/teams/?EventTeamId=0pvFYdbDZsACJ8c%2fet7xAHDpzIWoDS5rGW24NgEFa9Q%3d,Molly Brown,1,ALEX HARDESTY
16,26.0,Lisa Pitcaithley,,,"3'5""",1,5,0,0,/events/teams/?EventTeamId=0pvFYdbDZsACJ8c%2fet7xAHDpzIWoDS5rGW24NgEFa9Q%3d,Molly Brown,1,LISA PITCAITHLEY
17,31.0,Carolyn Vlach,Handler,,"5'6""",1,3,0,0,/events/teams/?EventTeamId=0pvFYdbDZsACJ8c%2fet7xAHDpzIWoDS5rGW24NgEFa9Q%3d,Molly Brown,1,CAROLYN VLACH
18,42.0,Lisi Lohre,,,,3,1,0,0,/events/teams/?EventTeamId=0pvFYdbDZsACJ8c%2fet7xAHDpzIWoDS5rGW24NgEFa9Q%3d,Molly Brown,1,LISI LOHRE
19,44.0,Stacy Gaskill,,,,0,0,0,0,/events/teams/?EventTeamId=0pvFYdbDZsACJ8c%2fet7xAHDpzIWoDS5rGW24NgEFa9Q%3d,Molly Brown,1,STACY GASKILL
20,47.0,Rebecca Miller,,,"5'4""",7,1,0,0,/events/teams/?EventTeamId=0pvFYdbDZsACJ8c%2fet7xAHDpzIWoDS5rGW24NgEFa9Q%3d,Molly Brown,1,REBECCA MILLER
21,49.0,Claire Chastain,,,,0,0,0,0,/events/teams/?EventTeamId=0pvFYdbDZsACJ8c%2fet7xAHDpzIWoDS5rGW24NgEFa9Q%3d,Molly Brown,1,CLAIRE CHASTAIN
22,65.0,Megan Ives,Handler/Cutter,,"5'6""",1,0,0,0,/events/teams/?EventTeamId=0pvFYdbDZsACJ8c%2fet7xAHDpzIWoDS5rGW24NgEFa9Q%3d,Molly Brown,1,MEGAN IVES
23,91.0,Hannah Leathers,,,,1,2,0,0,/events/teams/?EventTeamId=0pvFYdbDZsACJ8c%2fet7xAHDpzIWoDS5rGW24NgEFa9Q%3d,Molly Brown,1,HANNAH LEATHERS
24,97.0,Sarah Pesch,,,,2,3,0,0,/events/teams/?EventTeamId=0pvFYdbDZsACJ8c%2fet7xAHDpzIWoDS5rGW24NgEFa9Q%3d,Molly Brown,1,SARAH PESCH
0,0.0,Eileen Duffner,Handler,,"5'9""",2,2,0,0,/events/teams/?EventTeamId=SrFvZJM5buLi5Ko53OinYUMbxAbUFcOa9uisUH%2bmAiA%3d,Nemesis,12,EILEEN DUFFNER
1,1.0,Allison Fish,,,,0,3,0,0,/events/teams/?EventTeamId=SrFvZJM5buLi5Ko53OinYUMbxAbUFcOa9uisUH%2bmAiA%3d,Nemesis,12,ALLISON FISH
2,2.0,Elizabeth Arakaki,,,,1,0,0,0,/events/teams/?EventTeamId=SrFvZJM5buLi5Ko53OinYUMbxAbUFcOa9uisUH%2bmAiA%3d,Nemesis,12,ELIZABETH ARAKAKI
3,4.0,Monica Matsumoto,,,,6,7,0,0,/events/teams/?EventTeamId=SrFvZJM5buLi5Ko53OinYUMbxAbUFcOa9uisUH%2bmAiA%3d,Nemesis,12,MONICA MATSUMOTO
4,5.0,Anna Thorn,Handler,,"5'6""",0,2,0,0,/events/teams/?EventTeamId=SrFvZJM5buLi5Ko53OinYUMbxAbUFcOa9uisUH%2bmAiA%3d,Nemesis,12,ANNA THORN
5,6.0,Risa Umeno,Cutter,,"5'3""",1,0,0,0,/events/teams/?EventTeamId=SrFvZJM5buLi5Ko53OinYUMbxAbUFcOa9uisUH%2bmAiA%3d,Nemesis,12,RISA UMENO
6,8.0,Christina Sur,,,"5'5""",4,1,0,0,/events/teams/?EventTeamId=SrFvZJM5buLi5Ko53OinYUMbxAbUFcOa9uisUH%2bmAiA%3d,Nemesis,12,CHRISTINA SUR
