,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
0,0.0,Lior Givol,,,"1'0""",2,0,2,0,/events/teams/?EventTeamId=ib9mIRV%2b9T9fh7EwVpkz3ymHv%2fPIoIIm7IqHWfXGgw4%3d,Revolver,1,LIOR GIVOL
1,1.0,Simon Higgins,Deep,,,8,7,1,5,/events/teams/?EventTeamId=ib9mIRV%2b9T9fh7EwVpkz3ymHv%2fPIoIIm7IqHWfXGgw4%3d,Revolver,1,SIMON HIGGINS
2,2.0,Kevin Cocks,Defense (Cutter),,,3,3,1,0,/events/teams/?EventTeamId=ib9mIRV%2b9T9fh7EwVpkz3ymHv%2fPIoIIm7IqHWfXGgw4%3d,Revolver,1,KEVIN COCKS
3,3.0,George Stubbs,Defense (Cutter/Handler),,,5,10,0,4,/events/teams/?EventTeamId=ib9mIRV%2b9T9fh7EwVpkz3ymHv%2fPIoIIm7IqHWfXGgw4%3d,Revolver,1,GEORGE STUBBS
4,4.0,Joel Schlachet,Handler,,,10,5,2,1,/events/teams/?EventTeamId=ib9mIRV%2b9T9fh7EwVpkz3ymHv%2fPIoIIm7IqHWfXGgw4%3d,Revolver,1,JOEL SCHLACHET
5,8.0,John Stubbs,,,"6'0""",4,3,1,4,/events/teams/?EventTeamId=ib9mIRV%2b9T9fh7EwVpkz3ymHv%2fPIoIIm7IqHWfXGgw4%3d,Revolver,1,JOHN STUBBS
6,9.0,Cassidy Rasmussen,Mid,,,2,1,2,1,/events/teams/?EventTeamId=ib9mIRV%2b9T9fh7EwVpkz3ymHv%2fPIoIIm7IqHWfXGgw4%3d,Revolver,1,CASSIDY RASMUSSEN
7,14.0,Kenneth Justin Lim,Handler,,"5'10""",1,2,1,2,/events/teams/?EventTeamId=ib9mIRV%2b9T9fh7EwVpkz3ymHv%2fPIoIIm7IqHWfXGgw4%3d,Revolver,1,KENNETH JUSTIN LIM
8,18.0,Gregory Cohen,Defense (Cutter),,,0,1,2,0,/events/teams/?EventTeamId=ib9mIRV%2b9T9fh7EwVpkz3ymHv%2fPIoIIm7IqHWfXGgw4%3d,Revolver,1,GREGORY COHEN
9,22.0,Marcelo Sanchez,Deep,,,3,3,2,3,/events/teams/?EventTeamId=ib9mIRV%2b9T9fh7EwVpkz3ymHv%2fPIoIIm7IqHWfXGgw4%3d,Revolver,1,MARCELO SANCHEZ
