,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
0,0.0,Nick Spiva,,,,0,0,1,0,/events/teams/?EventTeamId=u0xeR%2fLrZoflPU6u8iBJSIacfUiQLzfgObISewe2Luw%3d,AMP,1,NICK SPIVA
1,1.0,Robert Roos,,,,5,1,1,2,/events/teams/?EventTeamId=u0xeR%2fLrZoflPU6u8iBJSIacfUiQLzfgObISewe2Luw%3d,AMP,1,ROBERT ROOS
2,2.0,Matt Zumbrum,,,,0,0,0,2,/events/teams/?EventTeamId=u0xeR%2fLrZoflPU6u8iBJSIacfUiQLzfgObISewe2Luw%3d,AMP,1,MATT ZUMBRUM
3,4.0,Raha Mozaffari,,,,5,4,1,5,/events/teams/?EventTeamId=u0xeR%2fLrZoflPU6u8iBJSIacfUiQLzfgObISewe2Luw%3d,AMP,1,RAHA MOZAFFARI
4,5.0,Michael Panna,,,"5'9""",0,1,1,4,/events/teams/?EventTeamId=u0xeR%2fLrZoflPU6u8iBJSIacfUiQLzfgObISewe2Luw%3d,AMP,1,MICHAEL PANNA
5,6.0,Kelsey Devlin,,,,1,0,0,1,/events/teams/?EventTeamId=u0xeR%2fLrZoflPU6u8iBJSIacfUiQLzfgObISewe2Luw%3d,AMP,1,KELSEY DEVLIN
6,7.0,Steve Rosso,,,"5'11""",2,1,0,0,/events/teams/?EventTeamId=u0xeR%2fLrZoflPU6u8iBJSIacfUiQLzfgObISewe2Luw%3d,AMP,1,STEVE ROSSO
7,8.0,Luke Ryan,,,"6'2""",4,1,4,4,/events/teams/?EventTeamId=u0xeR%2fLrZoflPU6u8iBJSIacfUiQLzfgObISewe2Luw%3d,AMP,1,LUKE RYAN
8,9.0,Andrea Desabato,,,,0,0,0,1,/events/teams/?EventTeamId=u0xeR%2fLrZoflPU6u8iBJSIacfUiQLzfgObISewe2Luw%3d,AMP,1,ANDREA DESABATO
9,10.0,Spencer Deroos,,,"5'10""",1,1,1,2,/events/teams/?EventTeamId=u0xeR%2fLrZoflPU6u8iBJSIacfUiQLzfgObISewe2Luw%3d,AMP,1,SPENCER DEROOS
10,11.0,Ryan Flamberg,,,,2,0,3,1,/events/teams/?EventTeamId=u0xeR%2fLrZoflPU6u8iBJSIacfUiQLzfgObISewe2Luw%3d,AMP,1,RYAN FLAMBERG
11,12.0,Malti McKinnon,,,,0,0,0,2,/events/teams/?EventTeamId=u0xeR%2fLrZoflPU6u8iBJSIacfUiQLzfgObISewe2Luw%3d,AMP,1,MALTI MCKINNON
12,13.0,Nico Lake,,,"5'11""",7,3,1,4,/events/teams/?EventTeamId=u0xeR%2fLrZoflPU6u8iBJSIacfUiQLzfgObISewe2Luw%3d,AMP,1,NICO LAKE
13,16.0,Richard Robinson,,,,1,1,0,1,/events/teams/?EventTeamId=u0xeR%2fLrZoflPU6u8iBJSIacfUiQLzfgObISewe2Luw%3d,AMP,1,RICHARD ROBINSON
14,17.0,Stephen Ng,,,"5'7""",1,2,0,2,/events/teams/?EventTeamId=u0xeR%2fLrZoflPU6u8iBJSIacfUiQLzfgObISewe2Luw%3d,AMP,1,STEPHEN NG
15,18.0,Emily Shields,,,,4,3,0,2,/events/teams/?EventTeamId=u0xeR%2fLrZoflPU6u8iBJSIacfUiQLzfgObISewe2Luw%3d,AMP,1,EMILY SHIELDS
16,19.0,Anna Thompson,,,"5'3""",0,0,0,0,/events/teams/?EventTeamId=u0xeR%2fLrZoflPU6u8iBJSIacfUiQLzfgObISewe2Luw%3d,AMP,1,ANNA THOMPSON
17,20.0,Ben Pelleg,,,,3,3,3,0,/events/teams/?EventTeamId=u0xeR%2fLrZoflPU6u8iBJSIacfUiQLzfgObISewe2Luw%3d,AMP,1,BEN PELLEG
18,21.0,Linda Morse,,,"5'10""",9,4,1,4,/events/teams/?EventTeamId=u0xeR%2fLrZoflPU6u8iBJSIacfUiQLzfgObISewe2Luw%3d,AMP,1,LINDA MORSE
19,23.0,Natalie Bova,,,,1,1,4,1,/events/teams/?EventTeamId=u0xeR%2fLrZoflPU6u8iBJSIacfUiQLzfgObISewe2Luw%3d,AMP,1,NATALIE BOVA
20,24.0,Danielle Walsh,,,,0,3,0,2,/events/teams/?EventTeamId=u0xeR%2fLrZoflPU6u8iBJSIacfUiQLzfgObISewe2Luw%3d,AMP,1,DANIELLE WALSH
21,27.0,Yuge Xiao,,,,0,0,0,0,/events/teams/?EventTeamId=u0xeR%2fLrZoflPU6u8iBJSIacfUiQLzfgObISewe2Luw%3d,AMP,1,YUGE XIAO
22,33.0,Calvin Trisolini,,,"6'1""",2,4,2,3,/events/teams/?EventTeamId=u0xeR%2fLrZoflPU6u8iBJSIacfUiQLzfgObISewe2Luw%3d,AMP,1,CALVIN TRISOLINI
23,36.0,Carolyn Normile,,,"5'3""",4,5,1,6,/events/teams/?EventTeamId=u0xeR%2fLrZoflPU6u8iBJSIacfUiQLzfgObISewe2Luw%3d,AMP,1,CAROLYN NORMILE
24,44.0,Max Charles,,,"5'6""",1,0,0,0,/events/teams/?EventTeamId=u0xeR%2fLrZoflPU6u8iBJSIacfUiQLzfgObISewe2Luw%3d,AMP,1,MAX CHARLES
25,81.0,Sean Mott,,,,10,3,2,3,/events/teams/?EventTeamId=u0xeR%2fLrZoflPU6u8iBJSIacfUiQLzfgObISewe2Luw%3d,AMP,1,SEAN MOTT
