,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
0,0.0,Alexandra Ode,,,"5'8""",5,1,0,0,/events/teams/?EventTeamId=Xs7iPt3AHxiie82KBMsWQkCvO8lpyjgMsCtbMeuoQNI%3d,Brute Squad,1,ALEXANDRA ODE
1,2.0,Sophie Hulbert,,,,3,1,3,2,/events/teams/?EventTeamId=Xs7iPt3AHxiie82KBMsWQkCvO8lpyjgMsCtbMeuoQNI%3d,Brute Squad,1,SOPHIE HULBERT
2,3.0,Courtney Verhaalen,,,,2,1,2,0,/events/teams/?EventTeamId=Xs7iPt3AHxiie82KBMsWQkCvO8lpyjgMsCtbMeuoQNI%3d,Brute Squad,1,COURTNEY VERHAALEN
3,4.0,Lien Hoffmann,,,"5'6""",8,5,2,2,/events/teams/?EventTeamId=Xs7iPt3AHxiie82KBMsWQkCvO8lpyjgMsCtbMeuoQNI%3d,Brute Squad,1,LIEN HOFFMANN
4,5.0,Julianna Werffeli,,,,1,7,3,6,/events/teams/?EventTeamId=Xs7iPt3AHxiie82KBMsWQkCvO8lpyjgMsCtbMeuoQNI%3d,Brute Squad,1,JULIANNA WERFFELI
5,6.0,Claudia Tajima,,,"5'6""",0,1,0,1,/events/teams/?EventTeamId=Xs7iPt3AHxiie82KBMsWQkCvO8lpyjgMsCtbMeuoQNI%3d,Brute Squad,1,CLAUDIA TAJIMA
6,7.0,Kami Groom,,,,9,7,9,1,/events/teams/?EventTeamId=Xs7iPt3AHxiie82KBMsWQkCvO8lpyjgMsCtbMeuoQNI%3d,Brute Squad,1,KAMI GROOM
7,10.0,Amber Sinicrope,,,"1'0""",6,16,3,7,/events/teams/?EventTeamId=Xs7iPt3AHxiie82KBMsWQkCvO8lpyjgMsCtbMeuoQNI%3d,Brute Squad,1,AMBER SINICROPE
8,12.0,Nicole Canning,,,"1'0""",5,0,2,1,/events/teams/?EventTeamId=Xs7iPt3AHxiie82KBMsWQkCvO8lpyjgMsCtbMeuoQNI%3d,Brute Squad,1,NICOLE CANNING
9,13.0,Becky Malinowski,,,,6,3,3,0,/events/teams/?EventTeamId=Xs7iPt3AHxiie82KBMsWQkCvO8lpyjgMsCtbMeuoQNI%3d,Brute Squad,1,BECKY MALINOWSKI
10,14.0,Tulsa Douglas,Handler,,"5'9""",1,6,3,5,/events/teams/?EventTeamId=Xs7iPt3AHxiie82KBMsWQkCvO8lpyjgMsCtbMeuoQNI%3d,Brute Squad,1,TULSA DOUGLAS
11,17.0,Angela Zhu,,,"1'0""",3,7,1,7,/events/teams/?EventTeamId=Xs7iPt3AHxiie82KBMsWQkCvO8lpyjgMsCtbMeuoQNI%3d,Brute Squad,1,ANGELA ZHU
12,21.0,Chelsea Murphy,,,"5'3""",5,2,4,2,/events/teams/?EventTeamId=Xs7iPt3AHxiie82KBMsWQkCvO8lpyjgMsCtbMeuoQNI%3d,Brute Squad,1,CHELSEA MURPHY
13,22.0,Victoria Negus,,,,0,0,1,0,/events/teams/?EventTeamId=Xs7iPt3AHxiie82KBMsWQkCvO8lpyjgMsCtbMeuoQNI%3d,Brute Squad,1,VICTORIA NEGUS
14,26.0,Elana Schwam,,,"5'4""",4,6,1,1,/events/teams/?EventTeamId=Xs7iPt3AHxiie82KBMsWQkCvO8lpyjgMsCtbMeuoQNI%3d,Brute Squad,1,ELANA SCHWAM
15,27.0,Jessie Grignon Tomas,Cutter,,"5'7""",9,2,1,3,/events/teams/?EventTeamId=Xs7iPt3AHxiie82KBMsWQkCvO8lpyjgMsCtbMeuoQNI%3d,Brute Squad,1,JESSIE GRIGNON TOMAS
16,29.0,Caitlyn Lee,Handler,,,9,3,4,2,/events/teams/?EventTeamId=Xs7iPt3AHxiie82KBMsWQkCvO8lpyjgMsCtbMeuoQNI%3d,Brute Squad,1,CAITLYN LEE
17,32.0,Megan Wilson,,,,0,2,0,2,/events/teams/?EventTeamId=Xs7iPt3AHxiie82KBMsWQkCvO8lpyjgMsCtbMeuoQNI%3d,Brute Squad,1,MEGAN WILSON
18,37.0,Lauren Sadler,Defense (Cutter),,"5'2""",3,2,0,2,/events/teams/?EventTeamId=Xs7iPt3AHxiie82KBMsWQkCvO8lpyjgMsCtbMeuoQNI%3d,Brute Squad,1,LAUREN SADLER
19,38.0,Hannah Henkin,,,,2,0,0,3,/events/teams/?EventTeamId=Xs7iPt3AHxiie82KBMsWQkCvO8lpyjgMsCtbMeuoQNI%3d,Brute Squad,1,HANNAH HENKIN
20,42.0,Rachel Kramer,Cutter,,,0,3,0,0,/events/teams/?EventTeamId=Xs7iPt3AHxiie82KBMsWQkCvO8lpyjgMsCtbMeuoQNI%3d,Brute Squad,1,RACHEL KRAMER
21,46.0,Jojo Emerson,Handler,,"1'0""",0,7,1,5,/events/teams/?EventTeamId=Xs7iPt3AHxiie82KBMsWQkCvO8lpyjgMsCtbMeuoQNI%3d,Brute Squad,1,JOJO EMERSON
22,52.0,Caitlin O'Connell,,,,4,2,2,0,/events/teams/?EventTeamId=Xs7iPt3AHxiie82KBMsWQkCvO8lpyjgMsCtbMeuoQNI%3d,Brute Squad,1,CAITLIN O'CONNELL
23,71.0,Cassandra Wong,Defense (Cutter),,"5'3""",4,1,2,3,/events/teams/?EventTeamId=Xs7iPt3AHxiie82KBMsWQkCvO8lpyjgMsCtbMeuoQNI%3d,Brute Squad,1,CASSANDRA WONG
24,83.0,Alyson Steinfeld,,,"5'11""",0,5,2,0,/events/teams/?EventTeamId=Xs7iPt3AHxiie82KBMsWQkCvO8lpyjgMsCtbMeuoQNI%3d,Brute Squad,1,ALYSON STEINFELD
0,,Krystal Dos Santos,,,"5'5""",0,0,0,0,/events/teams/?EventTeamId=5wAlqDfs2VwzbZxdIMRT4pjbChQSMPNERhEoyDP4F4k%3d,6ixers,4,KRYSTAL DOS SANTOS
1,,Jeannette Quach,,,,0,0,0,0,/events/teams/?EventTeamId=5wAlqDfs2VwzbZxdIMRT4pjbChQSMPNERhEoyDP4F4k%3d,6ixers,4,JEANNETTE QUACH
2,0.0,Anouchka Beaudry,,,,0,0,0,0,/events/teams/?EventTeamId=5wAlqDfs2VwzbZxdIMRT4pjbChQSMPNERhEoyDP4F4k%3d,6ixers,4,ANOUCHKA BEAUDRY
3,0.0,Reve Chan,,,,0,0,0,0,/events/teams/?EventTeamId=5wAlqDfs2VwzbZxdIMRT4pjbChQSMPNERhEoyDP4F4k%3d,6ixers,4,REVE CHAN
4,0.0,Brittney Dos Santos,Handler,,"5'7""",0,0,0,0,/events/teams/?EventTeamId=5wAlqDfs2VwzbZxdIMRT4pjbChQSMPNERhEoyDP4F4k%3d,6ixers,4,BRITTNEY DOS SANTOS
5,0.0,Christine Jurychuk,,,,0,0,0,0,/events/teams/?EventTeamId=5wAlqDfs2VwzbZxdIMRT4pjbChQSMPNERhEoyDP4F4k%3d,6ixers,4,CHRISTINE JURYCHUK
6,0.0,Sarah Kidd,,,,0,0,0,0,/events/teams/?EventTeamId=5wAlqDfs2VwzbZxdIMRT4pjbChQSMPNERhEoyDP4F4k%3d,6ixers,4,SARAH KIDD
7,0.0,Sara Mar,,,,0,0,0,0,/events/teams/?EventTeamId=5wAlqDfs2VwzbZxdIMRT4pjbChQSMPNERhEoyDP4F4k%3d,6ixers,4,SARA MAR
8,0.0,Destin McQuillan,,,"1'0""",0,0,0,0,/events/teams/?EventTeamId=5wAlqDfs2VwzbZxdIMRT4pjbChQSMPNERhEoyDP4F4k%3d,6ixers,4,DESTIN MCQUILLAN
9,0.0,Lindsay Musalem,,,"1'0""",0,0,0,0,/events/teams/?EventTeamId=5wAlqDfs2VwzbZxdIMRT4pjbChQSMPNERhEoyDP4F4k%3d,6ixers,4,LINDSAY MUSALEM
10,0.0,Lana Ramic,,,,0,0,0,0,/events/teams/?EventTeamId=5wAlqDfs2VwzbZxdIMRT4pjbChQSMPNERhEoyDP4F4k%3d,6ixers,4,LANA RAMIC
11,0.0,Lillian Steponaitis,,,,0,0,0,0,/events/teams/?EventTeamId=5wAlqDfs2VwzbZxdIMRT4pjbChQSMPNERhEoyDP4F4k%3d,6ixers,4,LILLIAN STEPONAITIS
12,11.0,Laura Kinoshita,,,,0,0,0,1,/events/teams/?EventTeamId=5wAlqDfs2VwzbZxdIMRT4pjbChQSMPNERhEoyDP4F4k%3d,6ixers,4,LAURA KINOSHITA
13,14.0,Miriam Tingle,,,,2,2,0,0,/events/teams/?EventTeamId=5wAlqDfs2VwzbZxdIMRT4pjbChQSMPNERhEoyDP4F4k%3d,6ixers,4,MIRIAM TINGLE
14,16.0,Jessica Chen,,,,0,0,0,0,/events/teams/?EventTeamId=5wAlqDfs2VwzbZxdIMRT4pjbChQSMPNERhEoyDP4F4k%3d,6ixers,4,JESSICA CHEN
15,17.0,Nicolette Bertsch,,,"5'7""",1,0,1,1,/events/teams/?EventTeamId=5wAlqDfs2VwzbZxdIMRT4pjbChQSMPNERhEoyDP4F4k%3d,6ixers,4,NICOLETTE BERTSCH
16,20.0,Lauren Kimura,,,"5'8""",1,4,1,1,/events/teams/?EventTeamId=5wAlqDfs2VwzbZxdIMRT4pjbChQSMPNERhEoyDP4F4k%3d,6ixers,4,LAUREN KIMURA
17,22.0,Sarah Bobak,,,"5'7""",0,0,0,0,/events/teams/?EventTeamId=5wAlqDfs2VwzbZxdIMRT4pjbChQSMPNERhEoyDP4F4k%3d,6ixers,4,SARAH BOBAK
18,28.0,Jenna McLeod,,,,1,0,0,1,/events/teams/?EventTeamId=5wAlqDfs2VwzbZxdIMRT4pjbChQSMPNERhEoyDP4F4k%3d,6ixers,4,JENNA MCLEOD
19,35.0,Molly Lewis,,,,1,4,1,1,/events/teams/?EventTeamId=5wAlqDfs2VwzbZxdIMRT4pjbChQSMPNERhEoyDP4F4k%3d,6ixers,4,MOLLY LEWIS
