,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
0,0,Lior Givol,,,"1'0""",1,0,1,2,/events/teams/?EventTeamId=bjy53xDwE1lt4ifeRWk0mZKnF9b8RIKFI46qCqNy4WA%3d,Revolver,1,LIOR GIVOL
1,1,Simon Higgins,Deep,,,8,8,0,7,/events/teams/?EventTeamId=bjy53xDwE1lt4ifeRWk0mZKnF9b8RIKFI46qCqNy4WA%3d,Revolver,1,SIMON HIGGINS
2,2,Kevin Cocks,Defense (Cutter),,,2,1,2,1,/events/teams/?EventTeamId=bjy53xDwE1lt4ifeRWk0mZKnF9b8RIKFI46qCqNy4WA%3d,Revolver,1,KEVIN COCKS
3,3,George Stubbs,Defense (Cutter/Handler),,,8,11,0,9,/events/teams/?EventTeamId=bjy53xDwE1lt4ifeRWk0mZKnF9b8RIKFI46qCqNy4WA%3d,Revolver,1,GEORGE STUBBS
4,4,Joel Schlachet,Handler,,,14,8,0,4,/events/teams/?EventTeamId=bjy53xDwE1lt4ifeRWk0mZKnF9b8RIKFI46qCqNy4WA%3d,Revolver,1,JOEL SCHLACHET
5,6,Julian Childs-Walker,,,,4,1,2,0,/events/teams/?EventTeamId=bjy53xDwE1lt4ifeRWk0mZKnF9b8RIKFI46qCqNy4WA%3d,Revolver,1,JULIAN CHILDS-WALKER
6,8,John Stubbs,,,"6'0""",8,3,2,7,/events/teams/?EventTeamId=bjy53xDwE1lt4ifeRWk0mZKnF9b8RIKFI46qCqNy4WA%3d,Revolver,1,JOHN STUBBS
7,9,Cassidy Rasmussen,Mid,,,2,5,4,4,/events/teams/?EventTeamId=bjy53xDwE1lt4ifeRWk0mZKnF9b8RIKFI46qCqNy4WA%3d,Revolver,1,CASSIDY RASMUSSEN
8,10,Grant Lindsley,Mid,,,11,11,1,1,/events/teams/?EventTeamId=bjy53xDwE1lt4ifeRWk0mZKnF9b8RIKFI46qCqNy4WA%3d,Revolver,1,GRANT LINDSLEY
9,14,Kenneth Justin Lim,Handler,,"5'10""",8,2,0,2,/events/teams/?EventTeamId=bjy53xDwE1lt4ifeRWk0mZKnF9b8RIKFI46qCqNy4WA%3d,Revolver,1,KENNETH JUSTIN LIM
10,15,Michael Spear,Mid,,"5'9""",0,5,1,1,/events/teams/?EventTeamId=bjy53xDwE1lt4ifeRWk0mZKnF9b8RIKFI46qCqNy4WA%3d,Revolver,1,MICHAEL SPEAR
11,17,Sawyer Thompson,Defense (Cutter),,"6'4""",5,1,1,2,/events/teams/?EventTeamId=bjy53xDwE1lt4ifeRWk0mZKnF9b8RIKFI46qCqNy4WA%3d,Revolver,1,SAWYER THOMPSON
12,18,Gregory Cohen,Defense (Cutter),,,3,1,2,0,/events/teams/?EventTeamId=bjy53xDwE1lt4ifeRWk0mZKnF9b8RIKFI46qCqNy4WA%3d,Revolver,1,GREGORY COHEN
13,22,Marcelo Sanchez,Deep,,,4,3,0,2,/events/teams/?EventTeamId=bjy53xDwE1lt4ifeRWk0mZKnF9b8RIKFI46qCqNy4WA%3d,Revolver,1,MARCELO SANCHEZ
14,23,Antoine Davis,Defense (Cutter),,"6'2""",3,1,4,1,/events/teams/?EventTeamId=bjy53xDwE1lt4ifeRWk0mZKnF9b8RIKFI46qCqNy4WA%3d,Revolver,1,ANTOINE DAVIS
15,24,Elijah Kerns,Defense (Cutter),,,5,5,3,5,/events/teams/?EventTeamId=bjy53xDwE1lt4ifeRWk0mZKnF9b8RIKFI46qCqNy4WA%3d,Revolver,1,ELIJAH KERNS
16,25,Nick Stuart,,,,3,2,2,6,/events/teams/?EventTeamId=bjy53xDwE1lt4ifeRWk0mZKnF9b8RIKFI46qCqNy4WA%3d,Revolver,1,NICK STUART
