,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
0,2.0,Kieran Kelly,Cutter,,"6'2""",4,4,0,0,/events/teams/?EventTeamId=lLYzB4zo71BhfnUxKFEVb2UyJ26SLhaQha6oZQXAv6s%3d,BFG,3,KIERAN KELLY
1,3.0,Mario O'Brien,,,,2,7,1,3,/events/teams/?EventTeamId=lLYzB4zo71BhfnUxKFEVb2UyJ26SLhaQha6oZQXAv6s%3d,BFG,3,MARIO O'BRIEN
2,4.0,Andrew Hagen,,,,3,2,2,2,/events/teams/?EventTeamId=lLYzB4zo71BhfnUxKFEVb2UyJ26SLhaQha6oZQXAv6s%3d,BFG,3,ANDREW HAGEN
3,5.0,Kate Kingery,,,,0,0,0,0,/events/teams/?EventTeamId=lLYzB4zo71BhfnUxKFEVb2UyJ26SLhaQha6oZQXAv6s%3d,BFG,3,KATE KINGERY
4,6.0,Bryson Simon Fox,,,,6,2,2,0,/events/teams/?EventTeamId=lLYzB4zo71BhfnUxKFEVb2UyJ26SLhaQha6oZQXAv6s%3d,BFG,3,BRYSON SIMON FOX
5,7.0,Kerry Chang,,,,1,5,2,1,/events/teams/?EventTeamId=lLYzB4zo71BhfnUxKFEVb2UyJ26SLhaQha6oZQXAv6s%3d,BFG,3,KERRY CHANG
6,10.0,Adam Simon,,,,2,8,1,8,/events/teams/?EventTeamId=lLYzB4zo71BhfnUxKFEVb2UyJ26SLhaQha6oZQXAv6s%3d,BFG,3,ADAM SIMON
7,11.0,Austin Barden,,,"6'1""",3,2,0,0,/events/teams/?EventTeamId=lLYzB4zo71BhfnUxKFEVb2UyJ26SLhaQha6oZQXAv6s%3d,BFG,3,AUSTIN BARDEN
8,14.0,Mia Smucny,,,,0,1,0,1,/events/teams/?EventTeamId=lLYzB4zo71BhfnUxKFEVb2UyJ26SLhaQha6oZQXAv6s%3d,BFG,3,MIA SMUCNY
9,17.0,Tommy Li,,,,1,6,3,5,/events/teams/?EventTeamId=lLYzB4zo71BhfnUxKFEVb2UyJ26SLhaQha6oZQXAv6s%3d,BFG,3,TOMMY LI
10,19.0,Julia Bladin,,,,2,2,1,1,/events/teams/?EventTeamId=lLYzB4zo71BhfnUxKFEVb2UyJ26SLhaQha6oZQXAv6s%3d,BFG,3,JULIA BLADIN
11,20.0,Alexa Kirkland,,,,6,3,0,3,/events/teams/?EventTeamId=lLYzB4zo71BhfnUxKFEVb2UyJ26SLhaQha6oZQXAv6s%3d,BFG,3,ALEXA KIRKLAND
12,21.0,Rena Kawabata,,,"5'5""",4,6,1,3,/events/teams/?EventTeamId=lLYzB4zo71BhfnUxKFEVb2UyJ26SLhaQha6oZQXAv6s%3d,BFG,3,RENA KAWABATA
13,23.0,Linnea Soo,Defense (Cutter),,"5'4""",3,1,1,1,/events/teams/?EventTeamId=lLYzB4zo71BhfnUxKFEVb2UyJ26SLhaQha6oZQXAv6s%3d,BFG,3,LINNEA SOO
14,24.0,Samuel Pickel,,,,2,8,1,5,/events/teams/?EventTeamId=lLYzB4zo71BhfnUxKFEVb2UyJ26SLhaQha6oZQXAv6s%3d,BFG,3,SAMUEL PICKEL
15,26.0,Andrea Coleman,,,,1,1,1,4,/events/teams/?EventTeamId=lLYzB4zo71BhfnUxKFEVb2UyJ26SLhaQha6oZQXAv6s%3d,BFG,3,ANDREA COLEMAN
16,27.0,Jeffrey Pape,Dump,,"1'6""",5,9,1,4,/events/teams/?EventTeamId=lLYzB4zo71BhfnUxKFEVb2UyJ26SLhaQha6oZQXAv6s%3d,BFG,3,JEFFREY PAPE
17,28.0,Leah Bar-On Simmons,,,,3,0,3,3,/events/teams/?EventTeamId=lLYzB4zo71BhfnUxKFEVb2UyJ26SLhaQha6oZQXAv6s%3d,BFG,3,LEAH BAR-ON SIMMONS
