,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
0,3,Anna Reed,,,,0,3,2,3,/events/teams/?EventTeamId=UKVsF1D%2fAdO%2fZsj9vvmcfZiNcyvyL2FYm%2b2oL6ChK00%3d,Fury,1,ANNA REED
1,4,Alex Snyder,,,,0,6,0,2,/events/teams/?EventTeamId=UKVsF1D%2fAdO%2fZsj9vvmcfZiNcyvyL2FYm%2b2oL6ChK00%3d,Fury,1,ALEX SNYDER
2,5,Kaela Helton,,,,3,6,4,1,/events/teams/?EventTeamId=UKVsF1D%2fAdO%2fZsj9vvmcfZiNcyvyL2FYm%2b2oL6ChK00%3d,Fury,1,KAELA HELTON
3,6,Sarah Griffith,,,,8,1,2,2,/events/teams/?EventTeamId=UKVsF1D%2fAdO%2fZsj9vvmcfZiNcyvyL2FYm%2b2oL6ChK00%3d,Fury,1,SARAH GRIFFITH
4,7,Octavia Payne,,,,3,5,0,1,/events/teams/?EventTeamId=UKVsF1D%2fAdO%2fZsj9vvmcfZiNcyvyL2FYm%2b2oL6ChK00%3d,Fury,1,OCTAVIA PAYNE
5,8,Nancy Sun,,,,0,0,0,0,/events/teams/?EventTeamId=UKVsF1D%2fAdO%2fZsj9vvmcfZiNcyvyL2FYm%2b2oL6ChK00%3d,Fury,1,NANCY SUN
6,9,Marika Austin,,,,7,1,4,2,/events/teams/?EventTeamId=UKVsF1D%2fAdO%2fZsj9vvmcfZiNcyvyL2FYm%2b2oL6ChK00%3d,Fury,1,MARIKA AUSTIN
7,11,Carolyn Finney,,,"1'0""",4,9,1,7,/events/teams/?EventTeamId=UKVsF1D%2fAdO%2fZsj9vvmcfZiNcyvyL2FYm%2b2oL6ChK00%3d,Fury,1,CAROLYN FINNEY
8,12,Diana Charrier,,,,0,0,0,0,/events/teams/?EventTeamId=UKVsF1D%2fAdO%2fZsj9vvmcfZiNcyvyL2FYm%2b2oL6ChK00%3d,Fury,1,DIANA CHARRIER
9,13,Cree Howard,,,,8,5,2,4,/events/teams/?EventTeamId=UKVsF1D%2fAdO%2fZsj9vvmcfZiNcyvyL2FYm%2b2oL6ChK00%3d,Fury,1,CREE HOWARD
10,14,Yelena Gorlin,,,,3,2,0,3,/events/teams/?EventTeamId=UKVsF1D%2fAdO%2fZsj9vvmcfZiNcyvyL2FYm%2b2oL6ChK00%3d,Fury,1,YELENA GORLIN
11,19,Amel Awadelkarim,Handler/Cutter,,"5'5""",6,8,3,5,/events/teams/?EventTeamId=UKVsF1D%2fAdO%2fZsj9vvmcfZiNcyvyL2FYm%2b2oL6ChK00%3d,Fury,1,AMEL AWADELKARIM
12,20,Andrea Romano,,,,1,3,1,2,/events/teams/?EventTeamId=UKVsF1D%2fAdO%2fZsj9vvmcfZiNcyvyL2FYm%2b2oL6ChK00%3d,Fury,1,ANDREA ROMANO
13,28,Lisa Couper,,,,7,2,1,1,/events/teams/?EventTeamId=UKVsF1D%2fAdO%2fZsj9vvmcfZiNcyvyL2FYm%2b2oL6ChK00%3d,Fury,1,LISA COUPER
14,29,Kirstin Johnson,,,"5'4""",2,5,1,4,/events/teams/?EventTeamId=UKVsF1D%2fAdO%2fZsj9vvmcfZiNcyvyL2FYm%2b2oL6ChK00%3d,Fury,1,KIRSTIN JOHNSON
15,33,Anna Nazarov,,,,9,5,4,4,/events/teams/?EventTeamId=UKVsF1D%2fAdO%2fZsj9vvmcfZiNcyvyL2FYm%2b2oL6ChK00%3d,Fury,1,ANNA NAZAROV
16,38,Claire McKeever,Cutter,,"5'3""",2,2,2,1,/events/teams/?EventTeamId=UKVsF1D%2fAdO%2fZsj9vvmcfZiNcyvyL2FYm%2b2oL6ChK00%3d,Fury,1,CLAIRE MCKEEVER
17,42,Darragh Clancy,,,,7,1,1,1,/events/teams/?EventTeamId=UKVsF1D%2fAdO%2fZsj9vvmcfZiNcyvyL2FYm%2b2oL6ChK00%3d,Fury,1,DARRAGH CLANCY
18,44,Maggie Ruden,,,,3,5,1,2,/events/teams/?EventTeamId=UKVsF1D%2fAdO%2fZsj9vvmcfZiNcyvyL2FYm%2b2oL6ChK00%3d,Fury,1,MAGGIE RUDEN
19,47,Bethany Kaylor,,,"1'0""",4,8,3,4,/events/teams/?EventTeamId=UKVsF1D%2fAdO%2fZsj9vvmcfZiNcyvyL2FYm%2b2oL6ChK00%3d,Fury,1,BETHANY KAYLOR
20,66,Lakshmi Narayan,,,,3,1,1,2,/events/teams/?EventTeamId=UKVsF1D%2fAdO%2fZsj9vvmcfZiNcyvyL2FYm%2b2oL6ChK00%3d,Fury,1,LAKSHMI NARAYAN
21,69,Meeri Chang,,,"5'3""",0,7,1,1,/events/teams/?EventTeamId=UKVsF1D%2fAdO%2fZsj9vvmcfZiNcyvyL2FYm%2b2oL6ChK00%3d,Fury,1,MEERI CHANG
22,70,Marisa Mead,,,,0,1,0,2,/events/teams/?EventTeamId=UKVsF1D%2fAdO%2fZsj9vvmcfZiNcyvyL2FYm%2b2oL6ChK00%3d,Fury,1,MARISA MEAD
23,71,Magon Liu,,,"5'4""",6,2,2,4,/events/teams/?EventTeamId=UKVsF1D%2fAdO%2fZsj9vvmcfZiNcyvyL2FYm%2b2oL6ChK00%3d,Fury,1,MAGON LIU
24,72,Katie Ryan,,,,3,0,2,0,/events/teams/?EventTeamId=UKVsF1D%2fAdO%2fZsj9vvmcfZiNcyvyL2FYm%2b2oL6ChK00%3d,Fury,1,KATIE RYAN
25,73,Sharon Lin,,,"5'1""",0,0,0,0,/events/teams/?EventTeamId=UKVsF1D%2fAdO%2fZsj9vvmcfZiNcyvyL2FYm%2b2oL6ChK00%3d,Fury,1,SHARON LIN
