,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
0,2,Jesse Shofner,,,,6,22,8,21,/events/teams/?EventTeamId=aajnalxi5%2fo0WbDDeFyCUlUG7Voxo8DXKjWDNxhvLIY%3d,Oregon,1,JESSE SHOFNER
1,3,Laetitia Guillet,,,,5,1,0,1,/events/teams/?EventTeamId=aajnalxi5%2fo0WbDDeFyCUlUG7Voxo8DXKjWDNxhvLIY%3d,Oregon,1,LAETITIA GUILLET
2,4,Emily Loo,Defense (Cutter),,"5'1""",7,1,1,0,/events/teams/?EventTeamId=aajnalxi5%2fo0WbDDeFyCUlUG7Voxo8DXKjWDNxhvLIY%3d,Oregon,1,EMILY LOO
3,5,Gabrielle Aufderheide,,,,5,1,0,1,/events/teams/?EventTeamId=aajnalxi5%2fo0WbDDeFyCUlUG7Voxo8DXKjWDNxhvLIY%3d,Oregon,1,GABRIELLE AUFDERHEIDE
4,6,Angela Tocchi,,,,2,6,0,1,/events/teams/?EventTeamId=aajnalxi5%2fo0WbDDeFyCUlUG7Voxo8DXKjWDNxhvLIY%3d,Oregon,1,ANGELA TOCCHI
5,7,Alexandra Ode,,,"5'8""",5,10,3,7,/events/teams/?EventTeamId=aajnalxi5%2fo0WbDDeFyCUlUG7Voxo8DXKjWDNxhvLIY%3d,Oregon,1,ALEXANDRA ODE
6,8,Ashley Young,,,,5,9,4,4,/events/teams/?EventTeamId=aajnalxi5%2fo0WbDDeFyCUlUG7Voxo8DXKjWDNxhvLIY%3d,Oregon,1,ASHLEY YOUNG
7,9,Olivia Bartruff,,,,23,0,2,0,/events/teams/?EventTeamId=aajnalxi5%2fo0WbDDeFyCUlUG7Voxo8DXKjWDNxhvLIY%3d,Oregon,1,OLIVIA BARTRUFF
8,11,Bethany Kaylor,,,"1'0""",10,20,3,12,/events/teams/?EventTeamId=aajnalxi5%2fo0WbDDeFyCUlUG7Voxo8DXKjWDNxhvLIY%3d,Oregon,1,BETHANY KAYLOR
9,13,Amelia Lanning,,,,4,1,0,0,/events/teams/?EventTeamId=aajnalxi5%2fo0WbDDeFyCUlUG7Voxo8DXKjWDNxhvLIY%3d,Oregon,1,AMELIA LANNING
10,14,Sarafina Angstadt-Leto,,,,1,4,0,2,/events/teams/?EventTeamId=aajnalxi5%2fo0WbDDeFyCUlUG7Voxo8DXKjWDNxhvLIY%3d,Oregon,1,SARAFINA ANGSTADT-LETO
11,19,Lillian Weaver,,,,4,4,1,7,/events/teams/?EventTeamId=aajnalxi5%2fo0WbDDeFyCUlUG7Voxo8DXKjWDNxhvLIY%3d,Oregon,1,LILLIAN WEAVER
12,20,Hope Zima,,,"1'0""",2,2,0,0,/events/teams/?EventTeamId=aajnalxi5%2fo0WbDDeFyCUlUG7Voxo8DXKjWDNxhvLIY%3d,Oregon,1,HOPE ZIMA
13,22,Rachel Hershey,,,,6,1,0,0,/events/teams/?EventTeamId=aajnalxi5%2fo0WbDDeFyCUlUG7Voxo8DXKjWDNxhvLIY%3d,Oregon,1,RACHEL HERSHEY
14,24,Madison Lostra,,,,3,1,1,0,/events/teams/?EventTeamId=aajnalxi5%2fo0WbDDeFyCUlUG7Voxo8DXKjWDNxhvLIY%3d,Oregon,1,MADISON LOSTRA
15,25,Foley Galvin,Defense (Cutter),,"10'11""",4,0,2,1,/events/teams/?EventTeamId=aajnalxi5%2fo0WbDDeFyCUlUG7Voxo8DXKjWDNxhvLIY%3d,Oregon,1,FOLEY GALVIN
16,27,Hayley Wahlroos,,,,3,7,6,10,/events/teams/?EventTeamId=aajnalxi5%2fo0WbDDeFyCUlUG7Voxo8DXKjWDNxhvLIY%3d,Oregon,1,HAYLEY WAHLROOS
17,42,Jaydra Rotolante,Handler,,"5'2""",4,1,3,0,/events/teams/?EventTeamId=aajnalxi5%2fo0WbDDeFyCUlUG7Voxo8DXKjWDNxhvLIY%3d,Oregon,1,JAYDRA ROTOLANTE
18,43,Ella Hansen,Defense (Handler),,"5'8""",2,5,2,4,/events/teams/?EventTeamId=aajnalxi5%2fo0WbDDeFyCUlUG7Voxo8DXKjWDNxhvLIY%3d,Oregon,1,ELLA HANSEN
19,44,Kaitlin Brunik,,,"5'6""",1,6,1,4,/events/teams/?EventTeamId=aajnalxi5%2fo0WbDDeFyCUlUG7Voxo8DXKjWDNxhvLIY%3d,Oregon,1,KAITLIN BRUNIK
0,3,Patricia Massel,,,,1,0,0,0,/events/teams/?EventTeamId=If1siSYk%2fTOSvjc%2fQuZ8McFzh7RG9DqbYQ4oMIhPVxU%3d,Victoria,17,PATRICIA MASSEL
1,5,Olivia Chow,Handler,,"5'6""",0,1,0,0,/events/teams/?EventTeamId=If1siSYk%2fTOSvjc%2fQuZ8McFzh7RG9DqbYQ4oMIhPVxU%3d,Victoria,17,OLIVIA CHOW
2,6,Kimberly Hansen,,,,0,0,0,0,/events/teams/?EventTeamId=If1siSYk%2fTOSvjc%2fQuZ8McFzh7RG9DqbYQ4oMIhPVxU%3d,Victoria,17,KIMBERLY HANSEN
3,7,Naomi Redmond,,,"5'7""",7,8,0,0,/events/teams/?EventTeamId=If1siSYk%2fTOSvjc%2fQuZ8McFzh7RG9DqbYQ4oMIhPVxU%3d,Victoria,17,NAOMI REDMOND
4,8,Kate Scarth,,,"1'0""",19,14,0,0,/events/teams/?EventTeamId=If1siSYk%2fTOSvjc%2fQuZ8McFzh7RG9DqbYQ4oMIhPVxU%3d,Victoria,17,KATE SCARTH
5,11,Daisy Petrucci,,,,2,0,0,0,/events/teams/?EventTeamId=If1siSYk%2fTOSvjc%2fQuZ8McFzh7RG9DqbYQ4oMIhPVxU%3d,Victoria,17,DAISY PETRUCCI
6,13,Corinne Dunwoody,,,"5'8""",4,23,0,0,/events/teams/?EventTeamId=If1siSYk%2fTOSvjc%2fQuZ8McFzh7RG9DqbYQ4oMIhPVxU%3d,Victoria,17,CORINNE DUNWOODY
7,15,Haijia Zuo,Handler,,"5'5""",1,0,0,0,/events/teams/?EventTeamId=If1siSYk%2fTOSvjc%2fQuZ8McFzh7RG9DqbYQ4oMIhPVxU%3d,Victoria,17,HAIJIA ZUO
8,18,Alix Shuparski,,,,2,1,0,0,/events/teams/?EventTeamId=If1siSYk%2fTOSvjc%2fQuZ8McFzh7RG9DqbYQ4oMIhPVxU%3d,Victoria,17,ALIX SHUPARSKI
9,20,Katrina MacLean,,,,1,0,0,0,/events/teams/?EventTeamId=If1siSYk%2fTOSvjc%2fQuZ8McFzh7RG9DqbYQ4oMIhPVxU%3d,Victoria,17,KATRINA MACLEAN
10,21,Alexandra Omand,,,,6,3,0,0,/events/teams/?EventTeamId=If1siSYk%2fTOSvjc%2fQuZ8McFzh7RG9DqbYQ4oMIhPVxU%3d,Victoria,17,ALEXANDRA OMAND
11,22,Tasha Cameron,,,,3,2,0,0,/events/teams/?EventTeamId=If1siSYk%2fTOSvjc%2fQuZ8McFzh7RG9DqbYQ4oMIhPVxU%3d,Victoria,17,TASHA CAMERON
12,25,Katie Simons-Lane,,,"5'6""",2,0,0,0,/events/teams/?EventTeamId=If1siSYk%2fTOSvjc%2fQuZ8McFzh7RG9DqbYQ4oMIhPVxU%3d,Victoria,17,KATIE SIMONS-LANE
13,26,Paige Quinn,,,,1,1,0,0,/events/teams/?EventTeamId=If1siSYk%2fTOSvjc%2fQuZ8McFzh7RG9DqbYQ4oMIhPVxU%3d,Victoria,17,PAIGE QUINN
14,27,Natasha Wong,,,,3,0,0,0,/events/teams/?EventTeamId=If1siSYk%2fTOSvjc%2fQuZ8McFzh7RG9DqbYQ4oMIhPVxU%3d,Victoria,17,NATASHA WONG
15,35,Sarah von der Weid,Defense (Cutter),,"5'3""",3,0,0,0,/events/teams/?EventTeamId=If1siSYk%2fTOSvjc%2fQuZ8McFzh7RG9DqbYQ4oMIhPVxU%3d,Victoria,17,SARAH VON DER WEID
16,81,Lillian Pham,,,,2,4,0,0,/events/teams/?EventTeamId=If1siSYk%2fTOSvjc%2fQuZ8McFzh7RG9DqbYQ4oMIhPVxU%3d,Victoria,17,LILLIAN PHAM
17,96,Audrey Piper Arroliga,Cutter,,"5'10""",0,0,0,0,/events/teams/?EventTeamId=If1siSYk%2fTOSvjc%2fQuZ8McFzh7RG9DqbYQ4oMIhPVxU%3d,Victoria,17,AUDREY PIPER ARROLIGA
0,0,Lisa Fitton,,,"5'4""",9,9,0,0,/events/teams/?EventTeamId=i2FfjirHPjismXF0fLznWXIHS%2fBgIzk0rFlYEsHIPcY%3d,Florida State,12,LISA FITTON
