,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
0,1.0,Sophia Herscu,,,,0,0,0,0,/events/teams/?EventTeamId=c%2bbyh9S9ANQUYGFX55jj2huoFtowEZg%2fAyga4pprMQ0%3d,Brute Squad,1,SOPHIA HERSCU
1,2.0,Courtney Kiesow,,,"5'8""",3,0,1,0,/events/teams/?EventTeamId=c%2bbyh9S9ANQUYGFX55jj2huoFtowEZg%2fAyga4pprMQ0%3d,Brute Squad,1,COURTNEY KIESOW
2,4.0,Lien Hoffmann,,,"5'6""",8,5,3,4,/events/teams/?EventTeamId=c%2bbyh9S9ANQUYGFX55jj2huoFtowEZg%2fAyga4pprMQ0%3d,Brute Squad,1,LIEN HOFFMANN
3,4.0,Courtney Verhaalen,,,,0,0,0,0,/events/teams/?EventTeamId=c%2bbyh9S9ANQUYGFX55jj2huoFtowEZg%2fAyga4pprMQ0%3d,Brute Squad,1,COURTNEY VERHAALEN
4,5.0,Magon Liu,,,"5'4""",1,5,4,11,/events/teams/?EventTeamId=c%2bbyh9S9ANQUYGFX55jj2huoFtowEZg%2fAyga4pprMQ0%3d,Brute Squad,1,MAGON LIU
5,6.0,Claudia Tajima,,,"5'6""",2,6,1,5,/events/teams/?EventTeamId=c%2bbyh9S9ANQUYGFX55jj2huoFtowEZg%2fAyga4pprMQ0%3d,Brute Squad,1,CLAUDIA TAJIMA
6,7.0,Kami Groom,,,,12,12,15,3,/events/teams/?EventTeamId=c%2bbyh9S9ANQUYGFX55jj2huoFtowEZg%2fAyga4pprMQ0%3d,Brute Squad,1,KAMI GROOM
7,9.0,Becca Ludford,,,"5'6""",2,0,3,1,/events/teams/?EventTeamId=c%2bbyh9S9ANQUYGFX55jj2huoFtowEZg%2fAyga4pprMQ0%3d,Brute Squad,1,BECCA LUDFORD
8,10.0,Amber Sinicrope,,,"1'0""",4,8,1,5,/events/teams/?EventTeamId=c%2bbyh9S9ANQUYGFX55jj2huoFtowEZg%2fAyga4pprMQ0%3d,Brute Squad,1,AMBER SINICROPE
9,11.0,Christie Kim,,,,0,0,2,0,/events/teams/?EventTeamId=c%2bbyh9S9ANQUYGFX55jj2huoFtowEZg%2fAyga4pprMQ0%3d,Brute Squad,1,CHRISTIE KIM
10,12.0,Dory Ziperstein,,,,3,5,0,3,/events/teams/?EventTeamId=c%2bbyh9S9ANQUYGFX55jj2huoFtowEZg%2fAyga4pprMQ0%3d,Brute Squad,1,DORY ZIPERSTEIN
11,13.0,Becky Malinowski,,,,10,5,0,8,/events/teams/?EventTeamId=c%2bbyh9S9ANQUYGFX55jj2huoFtowEZg%2fAyga4pprMQ0%3d,Brute Squad,1,BECKY MALINOWSKI
12,14.0,Paula Seville,,,,7,9,1,1,/events/teams/?EventTeamId=c%2bbyh9S9ANQUYGFX55jj2huoFtowEZg%2fAyga4pprMQ0%3d,Brute Squad,1,PAULA SEVILLE
13,17.0,Angela Zhu,,,"1'0""",0,3,5,1,/events/teams/?EventTeamId=c%2bbyh9S9ANQUYGFX55jj2huoFtowEZg%2fAyga4pprMQ0%3d,Brute Squad,1,ANGELA ZHU
14,18.0,Leila Tunnell,,,,2,16,3,10,/events/teams/?EventTeamId=c%2bbyh9S9ANQUYGFX55jj2huoFtowEZg%2fAyga4pprMQ0%3d,Brute Squad,1,LEILA TUNNELL
15,20.0,Sarah Cook,,,,0,0,1,4,/events/teams/?EventTeamId=c%2bbyh9S9ANQUYGFX55jj2huoFtowEZg%2fAyga4pprMQ0%3d,Brute Squad,1,SARAH COOK
16,21.0,Chelsea Murphy,,,"5'3""",6,1,2,5,/events/teams/?EventTeamId=c%2bbyh9S9ANQUYGFX55jj2huoFtowEZg%2fAyga4pprMQ0%3d,Brute Squad,1,CHELSEA MURPHY
17,22.0,Victoria Negus,,,,1,0,0,2,/events/teams/?EventTeamId=c%2bbyh9S9ANQUYGFX55jj2huoFtowEZg%2fAyga4pprMQ0%3d,Brute Squad,1,VICTORIA NEGUS
18,23.0,Emily Baecher,,,,0,12,1,8,/events/teams/?EventTeamId=c%2bbyh9S9ANQUYGFX55jj2huoFtowEZg%2fAyga4pprMQ0%3d,Brute Squad,1,EMILY BAECHER
19,24.0,Rachael Westgate,,,,4,2,0,4,/events/teams/?EventTeamId=c%2bbyh9S9ANQUYGFX55jj2huoFtowEZg%2fAyga4pprMQ0%3d,Brute Squad,1,RACHAEL WESTGATE
20,25.0,Shira Klane,Defense (Handler),,"5'4""",1,2,2,1,/events/teams/?EventTeamId=c%2bbyh9S9ANQUYGFX55jj2huoFtowEZg%2fAyga4pprMQ0%3d,Brute Squad,1,SHIRA KLANE
21,26.0,Elana Schwam,,,"5'4""",5,1,2,1,/events/teams/?EventTeamId=c%2bbyh9S9ANQUYGFX55jj2huoFtowEZg%2fAyga4pprMQ0%3d,Brute Squad,1,ELANA SCHWAM
22,28.0,Shellie Cohen,,,,4,5,1,5,/events/teams/?EventTeamId=c%2bbyh9S9ANQUYGFX55jj2huoFtowEZg%2fAyga4pprMQ0%3d,Brute Squad,1,SHELLIE COHEN
23,33.0,Laura Bitterman,,,,11,4,0,3,/events/teams/?EventTeamId=c%2bbyh9S9ANQUYGFX55jj2huoFtowEZg%2fAyga4pprMQ0%3d,Brute Squad,1,LAURA BITTERMAN
24,39.0,Sydney Dobkin,,,,2,1,0,1,/events/teams/?EventTeamId=c%2bbyh9S9ANQUYGFX55jj2huoFtowEZg%2fAyga4pprMQ0%3d,Brute Squad,1,SYDNEY DOBKIN
25,44.0,Flannery Mcardle,,,"5'11""",1,1,3,1,/events/teams/?EventTeamId=c%2bbyh9S9ANQUYGFX55jj2huoFtowEZg%2fAyga4pprMQ0%3d,Brute Squad,1,FLANNERY MCARDLE
26,71.0,Cassandra Wong,,,"5'3""",10,1,0,3,/events/teams/?EventTeamId=c%2bbyh9S9ANQUYGFX55jj2huoFtowEZg%2fAyga4pprMQ0%3d,Brute Squad,1,CASSANDRA WONG
0,0.0,Mallory Meiser,,,,3,0,1,2,/events/teams/?EventTeamId=EfdvGasY6mEwfXfzbwlKQKOo3de2IF4mbYrPHnmtd2Q%3d,Nightlock,8,MALLORY MEISER
1,2.0,Marisa Rafter,,,,3,4,2,20,/events/teams/?EventTeamId=EfdvGasY6mEwfXfzbwlKQKOo3de2IF4mbYrPHnmtd2Q%3d,Nightlock,8,MARISA RAFTER
2,3.0,Loryn Kanemaru,,,,4,13,5,22,/events/teams/?EventTeamId=EfdvGasY6mEwfXfzbwlKQKOo3de2IF4mbYrPHnmtd2Q%3d,Nightlock,8,LORYN KANEMARU
3,6.0,Monisha White,,,,0,1,0,2,/events/teams/?EventTeamId=EfdvGasY6mEwfXfzbwlKQKOo3de2IF4mbYrPHnmtd2Q%3d,Nightlock,8,MONISHA WHITE
4,7.0,Claire Sharman,,,,14,5,6,4,/events/teams/?EventTeamId=EfdvGasY6mEwfXfzbwlKQKOo3de2IF4mbYrPHnmtd2Q%3d,Nightlock,8,CLAIRE SHARMAN
5,8.0,Rachel Habbert,,,,5,5,2,11,/events/teams/?EventTeamId=EfdvGasY6mEwfXfzbwlKQKOo3de2IF4mbYrPHnmtd2Q%3d,Nightlock,8,RACHEL HABBERT
6,9.0,Alexandra Stambaugh,,,,4,1,0,1,/events/teams/?EventTeamId=EfdvGasY6mEwfXfzbwlKQKOo3de2IF4mbYrPHnmtd2Q%3d,Nightlock,8,ALEXANDRA STAMBAUGH
7,10.0,Malina Wiebe,,,,7,2,5,1,/events/teams/?EventTeamId=EfdvGasY6mEwfXfzbwlKQKOo3de2IF4mbYrPHnmtd2Q%3d,Nightlock,8,MALINA WIEBE
8,11.0,Iris Leung,,,,4,1,0,2,/events/teams/?EventTeamId=EfdvGasY6mEwfXfzbwlKQKOo3de2IF4mbYrPHnmtd2Q%3d,Nightlock,8,IRIS LEUNG
9,12.0,Heather Waugh,,,"5'3""",4,2,0,1,/events/teams/?EventTeamId=EfdvGasY6mEwfXfzbwlKQKOo3de2IF4mbYrPHnmtd2Q%3d,Nightlock,8,HEATHER WAUGH
10,13.0,Marie Laurenza,,,,4,5,1,5,/events/teams/?EventTeamId=EfdvGasY6mEwfXfzbwlKQKOo3de2IF4mbYrPHnmtd2Q%3d,Nightlock,8,MARIE LAURENZA
11,14.0,Emmy Kolanz,,,,1,0,0,3,/events/teams/?EventTeamId=EfdvGasY6mEwfXfzbwlKQKOo3de2IF4mbYrPHnmtd2Q%3d,Nightlock,8,EMMY KOLANZ
12,15.0,Kathryn (Katie) Barry,,,,0,0,3,2,/events/teams/?EventTeamId=EfdvGasY6mEwfXfzbwlKQKOo3de2IF4mbYrPHnmtd2Q%3d,Nightlock,8,KATHRYN (KATIE) BARRY
13,16.0,Jennifer Founds,,,,1,1,2,2,/events/teams/?EventTeamId=EfdvGasY6mEwfXfzbwlKQKOo3de2IF4mbYrPHnmtd2Q%3d,Nightlock,8,JENNIFER FOUNDS
14,17.0,Abigail Edwardsvanmuijen,,,,0,0,0,0,/events/teams/?EventTeamId=EfdvGasY6mEwfXfzbwlKQKOo3de2IF4mbYrPHnmtd2Q%3d,Nightlock,8,ABIGAIL EDWARDSVANMUIJEN
15,18.0,Shannon Bubb,,,,3,1,0,5,/events/teams/?EventTeamId=EfdvGasY6mEwfXfzbwlKQKOo3de2IF4mbYrPHnmtd2Q%3d,Nightlock,8,SHANNON BUBB
16,19.0,Adrienne Lemberger,,,,0,3,2,2,/events/teams/?EventTeamId=EfdvGasY6mEwfXfzbwlKQKOo3de2IF4mbYrPHnmtd2Q%3d,Nightlock,8,ADRIENNE LEMBERGER
17,20.0,Briana Cahn,,,,8,8,6,6,/events/teams/?EventTeamId=EfdvGasY6mEwfXfzbwlKQKOo3de2IF4mbYrPHnmtd2Q%3d,Nightlock,8,BRIANA CAHN
