,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
0,0,Eugene Yum,,,"6'1""",4,6,3,14,/events/teams/?EventTeamId=XS04sjpxNTVXlLIUy0emOPIJ42SQWHrUjq65aw1MyyQ%3d,Metro North,8,EUGENE YUM
1,1,Theodore Mason,,,,1,0,2,0,/events/teams/?EventTeamId=XS04sjpxNTVXlLIUy0emOPIJ42SQWHrUjq65aw1MyyQ%3d,Metro North,8,THEODORE MASON
2,2,Diane Palmer,Mid,,"5'8""",1,0,0,0,/events/teams/?EventTeamId=XS04sjpxNTVXlLIUy0emOPIJ42SQWHrUjq65aw1MyyQ%3d,Metro North,8,DIANE PALMER
3,3,John Korber,,,,5,2,3,4,/events/teams/?EventTeamId=XS04sjpxNTVXlLIUy0emOPIJ42SQWHrUjq65aw1MyyQ%3d,Metro North,8,JOHN KORBER
4,4,Dave Tedeyan,,,,8,2,1,8,/events/teams/?EventTeamId=XS04sjpxNTVXlLIUy0emOPIJ42SQWHrUjq65aw1MyyQ%3d,Metro North,8,DAVE TEDEYAN
5,6,Chris Mazur,,,,6,20,6,17,/events/teams/?EventTeamId=XS04sjpxNTVXlLIUy0emOPIJ42SQWHrUjq65aw1MyyQ%3d,Metro North,8,CHRIS MAZUR
6,8,Alex Grintsvayg,,,,0,3,0,1,/events/teams/?EventTeamId=XS04sjpxNTVXlLIUy0emOPIJ42SQWHrUjq65aw1MyyQ%3d,Metro North,8,ALEX GRINTSVAYG
7,11,Young Jo Fontaine,,,,2,1,1,1,/events/teams/?EventTeamId=XS04sjpxNTVXlLIUy0emOPIJ42SQWHrUjq65aw1MyyQ%3d,Metro North,8,YOUNG JO FONTAINE
8,12,Emma Stoltze,,,,0,0,0,0,/events/teams/?EventTeamId=XS04sjpxNTVXlLIUy0emOPIJ42SQWHrUjq65aw1MyyQ%3d,Metro North,8,EMMA STOLTZE
9,13,Erin Leonard Ivers,,,,4,1,2,5,/events/teams/?EventTeamId=XS04sjpxNTVXlLIUy0emOPIJ42SQWHrUjq65aw1MyyQ%3d,Metro North,8,ERIN LEONARD IVERS
10,14,Kerry Beyrer,,,,1,1,2,3,/events/teams/?EventTeamId=XS04sjpxNTVXlLIUy0emOPIJ42SQWHrUjq65aw1MyyQ%3d,Metro North,8,KERRY BEYRER
11,18,Kendra Frederick,,,,7,0,4,4,/events/teams/?EventTeamId=XS04sjpxNTVXlLIUy0emOPIJ42SQWHrUjq65aw1MyyQ%3d,Metro North,8,KENDRA FREDERICK
12,19,Benjamin Ivers,Defense (Cutter),,"6'0""",3,1,2,2,/events/teams/?EventTeamId=XS04sjpxNTVXlLIUy0emOPIJ42SQWHrUjq65aw1MyyQ%3d,Metro North,8,BENJAMIN IVERS
